SB_CODE,no_positive_data,critical_25_level,critical_50_level,critical_80_level,critical_90_level
601,False,15.7221018907704,48.61749530869746,244.26110538989496,681.7967891857076
602,False,14.292064213279897,48.48907681460181,144.7383881647875,224.96445834654386
603,False,34.8620380393488,78.88906105289222,245.29374312463665,493.87000106851
604,False,23.35685053826532,83.66873920736916,259.3778000727065,407.9468271332959
605,False,66.76557201799001,182.52875859376036,640.2347042876955,1233.7424395298506
606,False,23.871780431767707,65.1661216422933,228.1545460583605,439.233949407741
607,False,206.55240594730247,543.4764527097338,1817.356318997692,3415.700151566648
608,False,129.91121595403845,262.85587166259194,633.329778927835,1002.9105429906446
609,False,75.66582825999019,201.05731511957782,680.6232996077094,1287.4527114379005
610,False,37.07568348862063,129.88193730066206,620.7542822548162,1406.1736854806613
611,False,211.05359095782794,562.0174792987362,1907.6817303659534,3613.6121487145824
612,False,28.633589403885694,97.6973952474094,300.4101260308043,472.3385172129172
613,False,83.28733991114252,223.49108539547728,765.8859891972664,1458.0347743935956
614,False,2.670904766785559,8.510786217641398,36.140671212511634,76.96208256296315
615,False,334.6704202228269,879.1743273800055,2934.065981445892,5508.808218049066
616,False,17.89813469401577,46.236467300053675,151.1104925238816,280.6296530241065
617,False,244.42706856835636,597.1831026265822,1820.5293995945553,3260.1697600369303
618,False,682.2893786595971,1708.139103202085,5368.284369310498,9767.635697182563
619,False,312.16904844454416,743.8395945947552,2197.89809906592,3872.2288213678844
620,False,69.0178727028277,196.91093647249798,728.4482728124727,1443.3436658535527
621,False,1683.1921347485002,2136.6132883269747,2877.31377769519,3361.664727870572
622,False,-3310.727421874884,0.0,4131.090940984623,6290.485377074666
623,False,3.389798167784445,15.979775226261927,59.68553105376046,99.31838192367846
624,False,-2118.6036152019838,0.0,2643.5713627374967,4025.412957040848
625,False,12.638287720846508,32.80638145565345,109.6567560344927,225.3147995111045
626,False,-1292.834157488279,0.0,1613.1848973452431,2456.4252281624417
627,False,1.7299780047863362,6.930279897785298,23.204231507984485,37.370401528332856
628,False,1253.7300519335345,1666.625485407973,2377.4270782711988,2862.5062405836893
629,False,18.104216631262453,63.479567615958146,303.7367501862868,688.452495638948
630,False,1745.9942952959823,2357.049997628852,3427.584564587808,4168.619077645449
