Sbswat,no_positive_data,critical_25_level,critical_50_level,critical_80_level,critical_90_level
1,False,15.913916340975222,44.46908906265599,160.2961845962948,313.3331633158072
2,False,15.187742427250715,33.17012769706416,94.26805404357715,176.99504487879426
3,False,2.157568530983548,5.177155457538339,15.887783133958914,30.979719267701896
4,False,0.4819074025911039,1.0695016999137017,3.0443281414362806,5.691334034386746
5,False,0.0911419308942929,0.2912421639012957,1.5937416738035366,4.742147612693053
6,False,-0.16745412091921416,0.0,0.2089474951604916,0.31816805334480885
7,False,0.15242331930447134,0.3895752793123118,1.484342247175647,3.4438185515534987
8,False,0.0694822754720398,0.19909137444234493,0.8733122321534252,2.214804629389107
9,False,-0.17210126974453716,0.0,0.21474615870701436,0.32699778107703914
10,False,0.03084198789024463,0.0982915906683335,0.5448159089039732,1.639877486247345
11,False,0.043301387052577564,0.14928019075985727,0.4679662468748146,0.7409440485848011
12,False,-0.3875990225373492,0.0,0.48364199364735533,0.7364502336646217
13,False,0.20611541602738093,0.5679670063685389,1.4832992965879461,2.212135916810357
14,False,0.22036391561070406,0.5317659027056774,1.7123859096704068,3.4810019708281716
15,False,0.14369057178791284,0.4360431107553132,1.2184491981489725,1.8568587178685634
16,False,0.04180128677562335,0.1457025690382678,0.4463304787202351,0.6998041691560725
17,False,17.82655698603307,45.40342040351785,186.33162433675096,462.38350806506844
18,False,17.841791609364954,45.31920347126352,185.74983066088984,460.8454625210266
19,False,20.02569246892149,52.791716415040234,176.9530339885447,332.994891020825
20,False,20.068740530659273,52.815183230225365,176.65592072073215,332.0667396971761
21,False,20.016935757973556,52.73897228092024,176.65226779839412,332.30701895241026
22,False,19.991650011991958,52.68842623096137,176.55016901547157,332.1810623832281
23,False,19.818646648090983,52.50185581554658,177.05786365575315,334.2559201248291
24,False,19.05662904023951,50.81438581925345,172.7710184695508,327.5571690483559
25,False,16.585649958664217,45.49661419058611,160.25757475008635,309.500429620972
26,False,16.177058194682672,44.94887926553646,160.8836677492907,313.3209394934081
27,False,3.10524100532916,10.285007208316623,45.83439602965037,100.09870798071778
28,False,2.8927296409093204,9.924053483579282,46.209599368388965,103.25953685393452
29,False,2.515868433109501,9.276842622946996,47.26479787314416,110.70600198137484
30,False,1.6766519738598549,4.52095557363903,17.358730642514644,39.878496214482226
31,False,1.7424080782557327,4.621367392115725,17.06293179003861,38.052598732030134
32,False,-15.906631561465572,0.0,19.848127970600963,30.223096161522335
33,False,11.608573842202075,19.38877424569713,30.655378509872747,37.22871820426303
34,False,11.606011712837919,19.366785731564296,30.503530599996715,36.93929548582177
35,False,5.669595480732129,13.375148768218345,39.03083591955531,68.31698465417101
36,False,11.234166436789753,18.883063470574132,29.006206203232512,34.37613493367416
37,False,-15.331932905214481,0.0,19.131025017048106,29.131150787377134
38,False,10.017776298891999,17.0130524766946,22.079386748224735,23.451066156410086
39,False,8.354560116127603,14.627336104560106,20.3270475243741,22.329095212829948
40,False,6.5006573229042885,12.156413874907997,19.381781840419023,23.233476589339972
41,False,0.0037402458454786937,0.018411200339463783,0.08007502768266522,0.1401905331531932
42,False,0.11669445120227434,0.4775355687506426,1.6263747071318104,2.63332574264009
43,False,0.12389305176167216,0.36057476741598227,1.6260920722378538,4.2056056744548345
44,False,-0.47896815930432973,0.0,0.597651443863557,0.9100544437095364
45,False,1.0464454530948053,4.369087203879113,42.19197955967546,187.7332475848184
