Amphoe_ID,critical_0_level,critical_10_level,critical_20_level,critical_30_level,critical_40_level,critical_50_level
5202,0.0,-1.792981835345813,-3.6936191718077516,-5.854247879260019,-8.57631812683501,-12.777822950156645
5205,0.0,-10.039976808078316,-20.68278110339634,-32.781432459507336,-48.023930524381406,-71.55066691044331
5206,0.0,-2.320824066305133,-4.780996715476559,-7.5777005101013595,-11.101130595229222,-16.539531206120675
5207,0.0,-1.0133085671442688,-2.0874589339268144,-3.308544132069362,-4.846929545608292,-7.221421438633326
5208,0.0,-11.34235816322313,-23.365742328957246,-37.033825392910245,-54.2535735715047,-80.83218780572659
5210,0.0,-20.25198286589805,-41.71994980985172,-66.12455598058371,-96.87072358078538,-144.32731350016215
5211,0.0,-1.1174643055997047,-2.3020242043767474,-3.6486220396895996,-5.345134675253098,-7.963695319489289
5301,0.0,-0.8577001639715601,-1.7668989762503593,-2.8004686199194198,-4.102612373783427,-6.112466185378364
5302,0.0,-0.2598850682617442,-0.5353743421572396,-0.8485482561674823,-1.2431007263367342,-1.8520909270658976
5303,0.0,-0.711431017466323,-1.4655782862549136,-2.3228866255852143,-3.402967398112157,-5.0700678630585125
5307,0.0,-4.546433302867139,-9.365846814380289,-14.844515988291455,-21.746822850720893,-32.40050660498058
5308,0.0,-2.8664616882328806,-5.905033524707932,-9.359256702163346,-13.711063242271093,-20.428059684487867
5401,0.0,-109.92648784313134,-226.45326069829994,-358.9199263728374,-525.8081881942347,-783.3995702032137
5402,0.0,-6.695686553222952,-13.793400319992491,-21.862022264623295,-32.0272837270189,-47.71732519550385
5403,0.0,-104.75678229616516,-215.803446436689,-342.04037012853865,-501.0800852548682,-746.5572660139824
5404,0.0,-51.07541434763237,-105.21753535001878,-166.7658479480824,-244.30755140401283,-363.99286862494256
5405,0.0,-33.68497146863984,-69.39248014989978,-109.98447886962835,-161.12434923396592,-240.05853992622437
5406,0.0,-80.15328411507944,-165.1191891934091,-261.7077230210354,-383.39488439319837,-571.2185439394334
5407,0.0,-67.0136726140539,-138.05102821511727,-218.80570290695914,-320.54456094076875,-477.57809199276636
5408,0.0,-22.6027230375222,-46.5625749802149,-73.79993528065773,-108.11495101686035,-161.08004413172537
5501,0.0,-2.8150982011053114,-5.799222547125608,-9.191550270530715,-13.4653777606752,-20.062013843040653
5503,0.0,-2.8997891640513664,-5.973689548547335,-9.468073925397418,-13.870477592907061,-20.665570504167814
5504,0.0,-1.2939426163446632,-2.6655770631540947,-4.224839687881668,-6.189278272024837,-9.221381574189623
5506,0.0,-4.090031125975349,-8.425638833802966,-13.354321596197634,-19.563727525581097,-29.147921388876266
5507,0.0,-1.8530238330747633,-3.81730825194978,-6.050290433033828,-8.86351527704756,-13.20571686488014
5510,0.0,-0.7152680190756301,-1.4734826734756912,-2.335414782921326,-3.421320816872949,-5.097412550136023
5513,0.0,-2.233323949023375,-4.60074273612434,-7.292004712222327,-10.682593816356059,-15.915954890564413
5601,0.0,-2.0505221840189343,-4.224163291452793,-6.695140413875529,-9.808203423816114,-14.61320405273879
5602,0.0,-9.616536710098723,-19.810476413422766,-31.398862236696022,-45.99850175742974,-68.53298848486311
5603,0.0,-3.703554375260706,-7.629480218162417,-12.092440045781297,-17.71510446793868,-26.393665100478852
5604,0.0,-18.18751182525354,-37.46705127789546,-59.383871288060966,-86.9957989947309,-129.6147018478565
5605,0.0,-12.09268778614322,-24.911453404082774,-39.48371948393359,-57.84260354341721,-86.1794695722937
5606,0.0,-29.0800776748177,-59.906202226889214,-94.94908409023762,-139.09789400861794,-207.24141013618063
6201,0.0,-2.6660876509263827,-5.492254448457525,-8.705017345224134,-12.752619908143624,-19.000078696595317
6202,0.0,-2.718725025738518,-5.600689689086852,-8.876883135378291,-13.004398739836727,-19.37520299660295
6206,0.0,-3.0698125422839975,-6.323944970613249,-10.023215635046153,-14.68374549778854,-21.87725518586179
6207,0.0,-1.926055021970008,-3.967755620755032,-6.2887438709223185,-9.212843249478356,-13.726179249465817
6208,0.0,-0.555816321903774,-1.1450053659865944,-1.8147905682132552,-2.65862012808106,-3.9610677666033958
6210,0.0,-0.503741291197575,-1.0377285782372105,-1.644760882432659,-2.409531140676497,-3.5899510551173344
6301,0.0,-1.1124907743898973,-2.291778517629684,-3.6323830104013677,-5.321344927343675,-7.9282510668018435
6302,0.0,-2.002968331904853,-4.126200324734837,-6.539872785168173,-9.580740459135177,-14.27430786821918
6401,0.0,-45.818163408050545,-94.38737383993382,-149.60044807784413,-219.16069512157878,-326.52666546200595
6402,0.0,-4.662823873562937,-9.605616361881996,-15.22454172989654,-22.30355049936354,-33.22997295879434
6403,0.0,-7.434085718924573,-15.31453414361337,-24.272962333640976,-35.55924708816765,-52.97958364111656
6404,0.0,-110.6480353286185,-227.93967934082403,-361.27584418161086,-529.2595454010758,-788.5417338536935
6405,0.0,-121.34560602807969,-249.97713195097714,-396.2043801801231,-580.4289257563391,-864.7787942074781
6406,0.0,-31.029589846626962,-63.92228057833467,-101.3144176772367,-148.42293916410807,-221.1347585680958
6407,0.0,-37.55993802921136,-77.37507679203502,-122.6365952057953,-179.65936464749322,-267.6737871488549
6408,0.0,-3.424047548827148,-7.053684215986515,-11.179824974267333,-16.378147553562627,-24.40173820466659
6409,0.0,-2.6746832086238514,-5.509961664491661,-8.733082618630407,-12.793734790535524,-19.06133559962185
6501,0.0,-2.8077459643423635,-5.784076625327657,-9.167544552442108,-13.43021001932957,-20.009617562279413
6504,0.0,-35.922516461543594,-74.0019184167285,-117.29026567194099,-171.82713344736442,-256.0045764106483
6505,0.0,-12.402361869325137,-25.54939524381821,-40.49483337755532,-59.32385862400305,-88.38638574352609
6506,0.0,-1.7320037022547983,-3.568001612830878,-5.655148758849546,-8.284643187435437,-12.343257594776011
