Province_ID,critical_0_level,critical_10_level,critical_20_level,critical_30_level,critical_40_level,critical_50_level
52,0.0,-26.959407,-53.918814,-80.878221,-107.837628,-134.797035
53,0.0,-9.743562699999998,-19.487125399999996,-29.230688099999995,-38.97425079999999,-48.7178135
54,0.0,-17.64799889999999,-35.295997799999995,-52.9439967,-70.59199559999999,-88.2399945
55,0.0,-4.762825183333334,-9.525650366666667,-14.288475550000001,-19.051300733333335,-23.814125916666665
56,0.0,-14.12471273333334,-28.249425466666665,-42.3741382,-56.49885093333333,-70.62356366666666
62,0.0,-27.30844001666665,-54.61688003333333,-81.92532005,-109.23376006666666,-136.54220008333334
63,0.0,-3.4008617333333326,-6.801723466666667,-10.2025852,-13.603446933333334,-17.004308666666667
64,0.0,0.0,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0,0.0,0.0
