SB_CODE,critical_0_level,critical_10_level,critical_20_level,critical_30_level,critical_40_level,critical_50_level
801,0.0,-0.7020445393009997,-1.404089078602,-2.106133617903,-2.808178157204,-3.510222696505
802,0.0,-0.7095437603478336,-1.4190875206956668,-2.1286312810435,-2.8381750413913336,-3.5477188017391668
803,0.0,-1.3526158444208338,-2.7052316888416668,-4.0578475332625,-5.4104633776833335,-6.7630792221041665
804,0.0,-1.1258441738679998,-2.2516883477359997,-3.3775325216039995,-4.503376695471999,-5.629220869339999
805,0.0,-1.8544788394081664,-3.7089576788163336,-5.5634365182245,-7.417915357632667,-9.272394197040834
806,0.0,-1.4790569782546665,-2.958113956509333,-4.437170934764,-5.916227913018666,-7.395284891273333
807,0.0,-0.7189440393960003,-1.437888078792,-2.156832118188,-2.875776157584,-3.59472019698
808,0.0,-0.3880831705891665,-0.7761663411783333,-1.1642495117675,-1.5523326823566665,-1.9404158529458333
809,0.0,-0.6622461259358334,-1.3244922518716669,-1.9867383778075003,-2.6489845037433337,-3.3112306296791667
810,0.0,-1.192963829061667,-2.3859276581233333,-3.578891487185,-4.771855316246667,-5.964819145308333
811,0.0,-0.26796251739916666,-0.5359250347983331,-0.8038875521974996,-1.0718500695966662,-1.3398125869958326
812,0.0,-0.4217232415808332,-0.8434464831616666,-1.2651697247425,-1.6868929663233332,-2.108616207904167
813,0.0,-1.137396748704,-2.274793497408,-3.412190246112,-4.549586994816,-5.686983743519999
814,0.0,-1.675430682488166,-3.350861364976333,-5.0262920474645,-6.701722729952666,-8.377153412440833
815,0.0,0.0,0.0,0.0,0.0,0.0
816,0.0,-1.8008908762178333,-3.6017817524356666,-5.4026726286535,-7.203563504871333,-9.004454381089166
817,0.0,0.0,0.0,0.0,0.0,0.0
818,0.0,-0.04210199008383325,-0.08420398016766648,-0.1263059702514997,-0.16840796033533295,-0.21050995041916618
819,0.0,0.0,0.0,0.0,0.0,0.0
