SB_CODE,no_positive_data,critical_25_level,critical_50_level,critical_80_level,critical_90_level
801,False,0.9353354409134133,3.93349758760767,13.662674217426469,22.255063803209595
802,False,1.0725730437649303,4.9995688440353705,18.77416437724695,31.3153991317791
803,False,7.657571566195157,26.785751594398658,82.64598233032848,129.92453702981763
804,False,0.2962668103983136,1.4614313632744322,10.70571353528173,30.31665940542962
805,False,-74.18324711758403,0.0,92.56507742540948,140.95048361088357
806,False,1.1364219653670387,3.66338295106103,10.555906512840195,16.225601619474215
807,False,-25.08856974810198,0.0,31.305254103326696,47.669065139400495
808,False,0.4847883204863703,1.8374076851626262,9.688201105311524,23.102820384704362
809,False,2.3275393706806273,7.368973540380345,31.04116951028815,65.82510135399293
810,False,2.757635338757015,8.14351343234878,31.449663606812738,63.73073852233054
811,False,12.716988584406195,37.043802053372005,140.63818275410046,282.4616285730677
812,False,4.139235699919884,11.959416262039644,44.94472128836308,89.78939063673187
813,False,19.744980473794428,56.349838801960715,208.53593436334666,413.27128146634806
814,False,1.438334960792434,3.210900115862345,10.908075755980356,23.950024407774205
815,False,12.573115913780871,30.126535854184166,89.63820420010539,158.49769890845033
816,False,0.15258382488332373,0.636086896038709,3.777077235307447,9.584090307464857
817,False,5.311672161271202,9.078214925919905,23.374498315706894,44.81310169587428
818,False,3.7787685338960504,5.762781706828935,9.757293617505534,12.849122085291551
819,False,3.6659126993677202,7.816095765909273,20.208947471782817,30.794096425406952
