Province_ID,no_positive_data,critical_25_level,critical_50_level,critical_80_level,critical_90_level
52,False,49.49650215617742,131.223694416212,442.96911195722043,836.6757797227793
53,False,4.04400249870675,18.28710246824059,66.50631884339309,109.80692004094595
54,False,383.89247037176284,1153.711636460728,4554.078420980708,9334.665724404967
55,False,6.3942156780428965,38.88378884926305,181.6530987503293,323.1392198125842
56,False,58.66121286459815,196.04175778919918,584.6521017710958,909.2474344115965
62,False,23.099640652725657,36.197617424220496,65.82636788440365,93.0246339583691
63,False,1.7123777417200552,5.205266894016685,25.501905884245986,69.98780827229847
64,False,543.016140268636,1179.5590553110546,3105.336349639331,5150.547591694866
65,False,140.7171567980615,230.36511481418367,426.1186963551555,587.7000753271573
66,False,525.5881831037793,979.2754506737049,2128.7837932555904,3194.522272789533
