Sbswat,no_positive_data,critical_25_level,critical_50_level,critical_80_level,critical_90_level
1,False,4.271913258798515,17.25554233440122,59.627365665560035,97.13230031715605
2,False,0.3087881678949693,0.8713049200102172,2.2795900464752457,3.395834753404071
3,False,0.08204635941097181,0.26814481565125753,1.5864445691498503,5.011465705990278
4,False,0.02774879131321037,0.09270191203139766,0.6210227158588556,2.163148000962086
5,False,0.22547695883213958,1.3098216216189438,5.643406647225153,9.78963704811293
6,False,0.12705911016811625,0.4816379709261214,1.5726889116773028,2.5160015166998426
7,False,0.4716672304829541,2.3385431070156515,9.05307506435889,15.225716843329591
8,False,0.5102626868966387,1.934773747681487,6.293247684236611,10.052922173629897
9,False,0.4943083542586706,2.2914176598338987,8.612623555867685,14.374023294485701
10,False,0.410692146964439,2.0698842714911403,8.189202847803886,13.869005599586256
11,False,1.4139648807900695,4.4173130587889435,21.503058624383275,58.267250373175465
12,False,0.28773133121891165,1.100339387511584,3.5839592245674075,5.725434456719362
13,False,0.4156334399702467,1.709826515214029,5.856105482469709,9.499356759144614
14,False,0.25950060704600064,1.0387624136127338,3.619519293963574,5.917125022807472
15,False,0.026688799376103405,0.09440426437763952,0.2934762239200191,0.46242718991277443
16,False,0.11616577135232292,0.40651785735583046,1.2529774796098068,1.9688898189500976
17,False,0.02180185261633408,0.05675028355975364,0.21250825028511677,0.4826579302440714
18,False,0.06077661096625648,0.1921730050440637,1.040788685616165,3.078334088529887
19,False,0.11972291781590003,0.5013538691034414,1.7446196412575026,2.84432022373176
20,False,0.04771159633348362,0.12948994147688977,0.5019051435731571,1.1604250300703907
21,False,0.13473291110933389,0.40330407312824446,1.107346388857009,1.6767281773468141
22,False,0.05450517645638246,0.17456246121208485,0.9046297058931321,2.569000658753927
23,False,0.03486468117450381,0.14311763941361438,0.8336270260940254,2.094095492091267
24,False,-155.0636793532447,0.0,193.48683217453407,294.62582785948337
25,False,-154.11320476437592,0.0,192.30083995488815,292.8198964913327
26,False,0.09308520477473291,0.326881925879966,2.1918460603677836,7.5474132157181275
27,False,0.5862294581746099,2.765756502316927,19.164942092321546,52.717273012749516
28,False,0.3534563358037013,2.002436812953236,17.435027615807634,54.03885167625163
29,False,0.0969300403199391,0.3680019546078374,1.944504934736142,4.642078601909795
30,False,0.1261358215473943,0.45021106000594974,1.3951835067981966,2.1944850216927705
31,False,0.10915753566070092,0.33990934199585815,0.9618322428831875,1.4708263363939487
32,False,0.017989407209656826,0.08127677609594722,0.9397101538381711,4.74158403513962
33,False,0.12397377488768468,0.4590509085614115,1.4710832309767454,2.339510210930132
34,False,0.07291069454548374,0.255434876697051,0.786161244021899,1.2345536013979133
35,False,0.08716235407691032,0.2850407540965547,1.2502359903340847,2.7078289294280666
36,False,0.0349122092714848,0.16264352114521868,0.630786558496989,1.0642656255807195
37,False,0.028880703237186132,0.1230737660031399,0.43491706253298845,0.7125092859189437
38,False,0.0535328103106864,0.17512620276760954,0.7684704672862057,1.6647777188258046
39,False,0.03452492419582235,0.13353035808851155,0.4497996044019533,0.7273779490941154
40,False,0.12288331602143955,0.390501648047847,1.6526289368591145,3.513058948646635
41,False,0.052402934163826284,0.21000835418778455,1.1871486859665217,2.935818577680199
42,False,0.1198524585532731,0.4363039341202659,4.186828522929086,19.09620320252844
43,False,0.04068848580010673,0.1445153872082024,1.0225784485802791,3.670267736393347
44,False,31.582221036973745,94.91882955218158,374.6994802062011,768.0610166171957
45,False,30.24507061141768,92.06021020076062,369.21137377913755,763.0974896975616
46,False,29.058559324943122,107.04001586132357,343.4971590439115,546.7263276190274
47,False,29.562485250406723,105.61510191062573,329.56463552564634,519.7572437966204
48,False,38.248596804958446,105.17221801029888,270.5898163731747,400.9619818401907
49,False,25.813661194661844,101.70931326893827,338.1532017821433,543.6020521475798
50,False,17.579768671643887,63.430884873113584,314.54182883470844,726.3812421499753
51,False,17.41383074741751,63.11764712429658,314.76408400772215,729.0470590659571
52,False,17.46626542999995,62.98205523067533,312.0732280091611,720.3873404831028
53,False,16.705689458854717,60.13821054402718,297.3571986467864,685.6641432772236
54,False,15.08523455112686,54.38577615540364,269.4144057504675,621.8360628916842
55,False,15.003718917060603,54.15206938839395,268.6291057985159,620.4733149611764
56,False,-158.60606469371885,0.0,197.90698343580044,301.3564705082814
57,False,0.7831314639697284,2.5198200955166525,14.017304612896258,42.21471455410005
58,False,0.5228080129577677,1.9385075890788963,14.697362969519707,55.25617236827515
59,False,0.5853446482175448,2.5585473199182927,26.627530373532828,124.55014189513057
60,False,0.5716388930317888,2.4533379978255945,24.39447087584961,110.47829017127555
61,False,0.2467150452738588,0.9226942883680992,2.977684081602529,4.745737450002212
62,False,-0.511945503738711,0.0,0.6388002282516879,0.9727124268369283
63,False,-0.19990379665991737,0.0,0.24943786008893162,0.3798234494940066
64,False,0.2390994246939919,0.7797013193913258,2.276201662832378,3.514913059247883
65,False,0.0598572270176775,0.25041233280795067,0.873426531750986,1.4252801513874849
66,False,-10.440846508389805,0.0,13.027978728189622,19.837934059854838
67,False,0.22354446108955683,0.9212983058877124,8.479480645758,36.41624152280795
