SB_CODE,no_positive_data,critical_25_level,critical_50_level,critical_80_level,critical_90_level
601,False,0.1468420172309892,1.0895778187268936,5.467319884682368,9.89407409333997
602,False,0.4445837759358271,1.494479670092448,4.4306814459519055,6.871550640680984
603,False,0.4888612421144508,1.2472362442780562,4.433251569642184,9.672975418127555
604,False,0.13294811617379035,1.15578864759029,17.171080897673132,70.36886905435429
605,False,0.3012991894116159,0.9050696603875642,3.5705173225002675,7.316385669048738
606,False,0.09764308970049558,0.35825152340720257,1.8139415381762571,4.234908860718237
607,False,0.22302575528020338,0.625830149844237,2.2677375213730753,4.444912740712031
608,False,0.1788393290586568,0.4700138309619069,1.5694320524703633,2.9475024865889567
609,False,0.26110352894880384,0.7090686705824893,2.4664576496169834,4.73222501171736
610,False,0.23914293742769321,1.068279746134107,3.8509190462066063,6.341207471869129
611,False,0.6574928382236622,1.8013579516824374,6.335322268812196,12.225334879377797
612,False,0.31583195011757564,1.4838218928530262,5.5805074382023685,9.310297988742402
613,False,8.828386648889706,24.302174732858724,85.97610911664906,166.4217426982838
614,False,0.44543235388438274,1.8074887618509714,6.351611801489583,10.408870104075861
615,False,10.183192279308686,34.450009659123765,106.73191148712517,168.40724733878577
616,False,0.6712242201664042,1.7861310035706506,6.0573247973746245,11.468678515164491
617,False,2.2676339091367255,5.667650537045065,17.775069839159222,32.30670790066926
618,False,5.269268571043541,13.224309546236372,41.68866453887167,75.97462203792097
619,False,6.8671206386089,19.58210612661595,54.90107357510524,84.1782622957551
620,False,0.8815805095082844,2.3849241190679744,8.256289169951655,15.801268800029336
621,False,32.63742117361075,63.61224058184106,138.92783075031036,197.85259797048462
622,False,-17.27864573417008,0.0,21.5601128601792,32.829965888553296
623,False,0.08251821693539632,0.6850410000993025,3.8876692801244537,7.287421270918908
624,False,-25.733746487079127,0.0,32.11029886905167,48.89492106923303
625,False,0.13330227661392402,0.46539089283000556,1.4496053959290889,2.2876752680731105
626,False,-15.172511936218875,0.0,18.93210120457436,28.828245973274974
627,False,0.36278680700129107,0.5894537349856049,1.251204320002955,2.028334237186794
628,False,-14.758407358915926,0.0,18.415385857785797,28.041434358735984
629,False,0.5234210944782622,0.8401981975697956,1.6978556998760306,2.6351967678142096
630,False,3.845962607285346,5.375665910941643,8.031248012127296,9.90087168324349
