Sbswat,no_positive_data,critical_25_level,critical_50_level,critical_80_level,critical_90_level
1,False,2.9227200682142316,8.981927736839404,36.45605566618724,75.82129593678775
2,False,3.065350929869392,7.092246799174386,20.971812154146907,40.016530582502554
3,False,0.30899163428675247,0.8689804213789621,2.267951301525629,3.3757672557290657
4,False,0.16413659362713723,0.5193875364004495,1.47762295730899,2.262127870996118
5,False,0.01239387172732157,0.10961698968928939,0.6401044445113283,1.2085114410548612
6,False,0.00437384387374788,0.011062710294429715,0.05052325483638807,0.1381550216580689
7,False,-0.31463695335774206,0.0,0.3926006892403992,0.5978200262295701
8,False,-0.18017337041893908,0.0,0.22481844123634842,0.34233502416117206
9,False,0.0047775765187965035,0.011329231147369404,0.042298730393714165,0.098912697014904
10,False,-0.1231427842840568,0.0,0.15365627422006337,0.23397513148105772
11,False,-0.1387343274838742,0.0,0.17311123823889532,0.2635995499265174
12,False,-0.14550708769227624,0.0,0.1815622173673873,0.2764680055933567
13,False,0.020929258832471407,0.14912597258700852,0.745072904190914,1.3479292975504302
14,False,0.052424560068523855,0.252017406766557,0.9604309643492626,1.6083586171860411
15,False,0.005160129420232005,0.06402031737823334,0.49708789957050253,1.0121447056611754
16,False,0.01977709044956212,0.1426573480001895,0.719389090917357,1.3048412169699877
17,False,3.919849084968493,11.04065438421272,40.193658245383155,78.97456330347073
18,False,3.9119651059168006,11.021279486271963,40.13598805873156,78.87446573237428
19,False,3.9327881148438686,11.062898978042757,40.21023032941788,78.94105278583906
20,False,3.931317098379264,11.058536119524016,40.19335270127793,78.90687180007345
21,False,3.8939257376305805,11.00148061450015,40.205309261839496,79.1563586131252
22,False,3.8747844149470727,10.973841230776378,40.225198406285344,79.32022172655523
23,False,3.8195992674424204,10.896612611377554,40.30670252491696,79.85934842913761
24,False,3.670038007508153,10.51989939583176,39.14505600739847,77.79896150402332
25,False,3.210287547092446,9.393731694298184,35.8653591260155,72.24565128390765
26,False,3.0981265006883674,9.236019425576526,36.09261307337912,73.59231228602039
27,False,0.7564206413841815,2.9082935509628,9.480752900006022,15.146242695498614
28,False,0.7145929989867441,2.1730101898530125,10.551289564875026,28.73315427343468
29,False,0.6194180154524396,2.6101429763113364,9.046307592209581,14.72213196587561
30,False,0.4470632344481856,1.1505299772592865,4.148920858182713,9.144866963214579
31,False,0.3125235966743937,0.8753665227329057,2.27781286169979,3.3871003665880774
32,False,2.20147532485762,4.109606387571223,7.395454529396664,9.689746589272374
33,False,2.2074001505065857,4.0489908737635325,7.190710307794842,9.363439517573081
