month,day,release
1,1,0.043
1,2,0.043
1,3,0.043
1,4,0.0
1,5,0.043
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.043
1,10,0.0
1,11,0.043
1,12,0.0
1,13,0.0
1,14,0.0
1,15,0.043
1,16,0.0
1,17,0.0
1,18,0.0
1,19,0.0
1,20,0.0
1,21,0.0
1,22,0.0
1,23,0.0
1,24,0.0
1,25,0.0
1,26,0.0
1,27,0.0
1,28,0.0
1,29,0.0
1,30,0.0
1,31,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
2,12,0.0
2,13,0.0
2,14,0.0
2,15,0.0
2,16,0.0
2,17,0.0
2,18,0.0
2,19,0.03
2,20,0.043
2,21,0.043
2,22,0.043
2,23,0.0
2,24,0.0
2,25,0.0
2,26,0.0
2,27,0.0
2,28,0.0
2,29,0.238
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.043
3,5,0.043
3,6,0.043
3,7,0.043
3,8,0.043
3,9,0.043
3,10,0.0
3,11,0.0
3,12,0.0
3,13,0.0
3,14,0.0
3,15,0.043
3,16,0.043
3,17,0.021
3,18,0.026
3,19,0.111
3,20,0.111
3,21,0.043
3,22,0.043
3,23,0.004
3,24,0.004
3,25,0.043
3,26,0.111
3,27,0.111
3,28,0.077
3,29,0.043
3,30,0.043
3,31,0.043
4,1,0.043
4,2,0.06
4,3,0.072
4,4,0.072
4,5,0.043
4,6,0.043
4,7,0.043
4,8,0.043
4,9,0.043
4,10,0.038
4,11,0.043
4,12,0.0
4,13,0.038
4,14,0.043
4,15,0.043
4,16,0.043
4,17,0.043
4,18,0.043
4,19,0.043
4,20,0.043
4,21,0.021
4,22,0.021
4,23,0.021
4,24,0.021
4,25,0.021
4,26,0.021
4,27,0.077
4,28,0.077
4,29,0.021
4,30,0.021
5,1,0.0
5,2,0.021
5,3,0.0
5,4,0.0
5,5,0.026
5,6,0.026
5,7,0.034
5,8,0.034
5,9,0.034
5,10,0.034
5,11,0.034
5,12,0.034
5,13,0.034
5,14,0.034
5,15,0.034
5,16,0.034
5,17,0.034
5,18,0.021
5,19,0.034
5,20,0.0
5,21,0.102
5,22,0.119
5,23,0.089
5,24,0.089
5,25,0.089
5,26,0.106
5,27,0.106
5,28,0.034
5,29,0.034
5,30,0.034
5,31,0.034
6,1,0.034
6,2,0.034
6,3,0.034
6,4,0.034
6,5,0.034
6,6,0.034
6,7,0.034
6,8,0.034
6,9,0.034
6,10,0.149
6,11,0.149
6,12,0.034
6,13,0.034
6,14,0.0
6,15,0.009
6,16,0.034
6,17,0.034
6,18,0.0
6,19,0.0
6,20,0.021
6,21,0.0
6,22,0.038
6,23,0.043
6,24,0.034
6,25,0.034
6,26,0.085
6,27,0.034
6,28,0.021
6,29,0.034
6,30,0.034
7,1,0.034
7,2,0.034
7,3,0.034
7,4,0.034
7,5,0.034
7,6,0.034
7,7,0.034
7,8,0.085
7,9,0.085
7,10,0.085
7,11,0.17
7,12,0.085
7,13,0.085
7,14,0.034
7,15,0.034
7,16,0.034
7,17,0.034
7,18,0.034
7,19,0.034
7,20,0.034
7,21,0.034
7,22,0.034
7,23,0.034
7,24,0.034
7,25,0.017
7,26,0.017
7,27,0.017
7,28,0.017
7,29,0.017
7,30,0.017
7,31,0.017
8,1,0.03
8,2,0.03
8,3,0.03
8,4,0.03
8,5,0.03
8,6,0.0
8,7,0.0
8,8,0.0
8,9,0.0
8,10,0.034
8,11,0.034
8,12,0.034
8,13,0.034
8,14,0.217
8,15,0.162
8,16,0.098
8,17,0.034
8,18,0.0
8,19,0.034
8,20,0.034
8,21,0.034
8,22,0.034
8,23,0.034
8,24,0.034
8,25,0.034
8,26,0.0
8,27,0.034
8,28,0.009
8,29,0.009
8,30,0.0
8,31,0.0
9,1,0.0
9,2,0.0
9,3,0.0
9,4,0.03
9,5,0.03
9,6,0.03
9,7,0.0
9,8,0.0
9,9,0.03
9,10,0.0
9,11,0.0
9,12,0.03
9,13,0.03
9,14,0.03
9,15,0.03
9,16,0.0
9,17,0.0
9,18,0.03
9,19,0.038
9,20,0.038
9,21,0.0
9,22,0.0
9,23,0.0
9,24,0.0
9,25,0.0
9,26,0.0
9,27,0.0
9,28,0.0
9,29,0.0
9,30,0.0
10,1,0.038
10,2,0.038
10,3,0.038
10,4,0.038
10,5,0.03
10,6,0.03
10,7,0.0
10,8,0.0
10,9,0.0
10,10,0.038
10,11,0.038
10,12,0.038
10,13,0.038
10,14,0.0
10,15,0.0
10,16,0.0
10,17,0.0
10,18,0.0
10,19,0.0
10,20,0.0
10,21,0.0
10,22,0.0
10,23,0.0
10,24,0.0
10,25,0.0
10,26,0.0
10,27,0.0
10,28,0.0
10,29,0.0
10,30,0.0
10,31,0.0
11,1,0.0
11,2,0.0
11,3,0.0
11,4,0.0
11,5,0.0
11,6,0.0
11,7,0.0
11,8,0.0
11,9,0.038
11,10,0.038
11,11,0.0
11,12,0.0
11,13,0.0
11,14,0.0
11,15,0.0
11,16,0.0
11,17,0.0
11,18,0.0
11,19,0.0
11,20,0.0
11,21,0.0
11,22,0.0
11,23,0.0
11,24,0.0
11,25,0.0
11,26,0.0
11,27,0.0
11,28,0.0
11,29,0.0
11,30,0.0
12,1,0.0
12,2,0.043
12,3,0.043
12,4,0.043
12,5,0.0
12,6,0.0
12,7,0.0
12,8,0.0
12,9,0.0
12,10,0.0
12,11,0.043
12,12,0.043
12,13,0.043
12,14,0.043
12,15,0.043
12,16,0.043
12,17,0.043
12,18,0.043
12,19,0.043
12,20,0.043
12,21,0.043
12,22,0.043
12,23,0.038
12,24,0.043
12,25,0.043
12,26,0.043
12,27,0.043
12,28,0.043
12,29,0.043
12,30,0.043
12,31,0.043
