month,day,release
1,1,0.336
1,2,0.336
1,3,0.035
1,4,0.035
1,5,0.035
1,6,0.035
1,7,0.104
1,8,0.104
1,9,0.104
1,10,0.035
1,11,0.093
1,12,0.405
1,13,0.405
1,14,0.405
1,15,0.405
1,16,0.405
1,17,0.405
1,18,0.428
1,19,0.428
1,20,0.405
1,21,0.405
1,22,0.058
1,23,0.058
1,24,0.081
1,25,0.081
1,26,0.104
1,27,0.405
1,28,0.405
1,29,0.324
1,30,0.405
1,31,0.405
2,1,0.405
2,2,0.405
2,3,0.405
2,4,0.405
2,5,0.069
2,6,0.069
2,7,0.081
2,8,0.081
2,9,0.081
2,10,0.081
2,11,0.081
2,12,0.081
2,13,0.081
2,14,0.012
2,15,0.0
2,16,0.012
2,17,0.0
2,18,0.0
2,19,0.012
2,20,0.035
2,21,0.012
2,22,0.012
2,23,0.012
2,24,0.012
2,25,0.046
2,26,0.046
2,27,0.046
2,28,0.046
2,29,0.006
3,1,0.046
3,2,0.174
3,3,0.174
3,4,0.174
3,5,0.174
3,6,0.162
3,7,0.023
3,8,0.174
3,9,0.174
3,10,0.197
3,11,0.197
3,12,0.104
3,13,0.104
3,14,0.174
3,15,0.197
3,16,0.197
3,17,0.174
3,18,0.174
3,19,0.15
3,20,0.174
3,21,0.174
3,22,0.174
3,23,0.405
3,24,0.174
3,25,0.174
3,26,0.174
3,27,0.174
3,28,0.174
3,29,0.093
3,30,0.278
3,31,0.394
4,1,0.37
4,2,0.37
4,3,0.394
4,4,0.394
4,5,0.174
4,6,0.174
4,7,0.0
4,8,0.174
4,9,0.174
4,10,0.174
4,11,0.324
4,12,0.0
4,13,0.174
4,14,0.046
4,15,0.046
4,16,0.174
4,17,0.046
4,18,0.174
4,19,0.023
4,20,0.174
4,21,0.174
4,22,0.174
4,23,0.012
4,24,0.0
4,25,0.046
4,26,0.104
4,27,0.104
4,28,0.104
4,29,0.104
4,30,0.023
5,1,0.035
5,2,0.012
5,3,0.012
5,4,0.0
5,5,0.012
5,6,0.012
5,7,0.093
5,8,0.012
5,9,0.012
5,10,0.012
5,11,0.012
5,12,0.012
5,13,0.0
5,14,0.0
5,15,0.0
5,16,0.0
5,17,0.0
5,18,0.0
5,19,0.0
5,20,0.0
5,21,0.0
5,22,0.0
5,23,0.012
5,24,0.012
5,25,0.012
5,26,0.012
5,27,0.012
5,28,0.0
5,29,0.0
5,30,0.012
5,31,0.0
6,1,0.0
6,2,0.012
6,3,0.0
6,4,0.0
6,5,0.0
6,6,0.0
6,7,0.0
6,8,0.0
6,9,0.0
6,10,0.0
6,11,0.0
6,12,0.0
6,13,0.0
6,14,0.0
6,15,0.0
6,16,0.0
6,17,0.0
6,18,0.0
6,19,0.0
6,20,0.0
6,21,0.0
6,22,0.0
6,23,0.0
6,24,0.0
6,25,0.0
6,26,0.0
6,27,0.0
6,28,0.012
6,29,0.012
6,30,0.012
7,1,0.012
7,2,0.012
7,3,0.012
7,4,0.012
7,5,0.012
7,6,0.012
7,7,0.012
7,8,0.0
7,9,0.0
7,10,0.0
7,11,0.347
7,12,0.116
7,13,0.116
7,14,0.116
7,15,0.116
7,16,0.0
7,17,0.0
7,18,0.0
7,19,0.069
7,20,0.069
7,21,0.127
7,22,0.069
7,23,0.046
7,24,0.046
7,25,0.069
7,26,0.127
7,27,0.127
7,28,0.243
7,29,0.312
7,30,0.312
7,31,0.312
8,1,0.312
8,2,0.069
8,3,0.069
8,4,0.104
8,5,0.428
8,6,0.208
8,7,0.208
8,8,0.208
8,9,0.208
8,10,0.208
8,11,0.208
8,12,0.208
8,13,0.104
8,14,0.104
8,15,0.185
8,16,0.185
8,17,0.104
8,18,0.104
8,19,0.058
8,20,0.058
8,21,0.058
8,22,0.243
8,23,0.243
8,24,0.243
8,25,0.405
8,26,0.405
8,27,0.301
8,28,0.301
8,29,0.243
8,30,0.243
8,31,0.243
9,1,0.231
9,2,0.405
9,3,0.405
9,4,0.405
9,5,0.405
9,6,0.405
9,7,0.405
9,8,0.405
9,9,0.405
9,10,0.405
9,11,0.405
9,12,0.405
9,13,0.405
9,14,0.405
9,15,0.405
9,16,0.405
9,17,0.405
9,18,0.405
9,19,0.405
9,20,0.405
9,21,0.116
9,22,0.405
9,23,0.405
9,24,0.405
9,25,0.093
9,26,0.417
9,27,0.417
9,28,0.417
9,29,0.417
9,30,0.417
10,1,0.405
10,2,0.405
10,3,0.405
10,4,0.405
10,5,0.405
10,6,0.405
10,7,0.405
10,8,0.405
10,9,0.405
10,10,0.405
10,11,0.405
10,12,0.405
10,13,0.405
10,14,0.405
10,15,0.405
10,16,0.023
10,17,0.405
10,18,0.405
10,19,0.405
10,20,0.405
10,21,0.405
10,22,0.405
10,23,0.405
10,24,0.405
10,25,0.405
10,26,0.405
10,27,0.405
10,28,0.405
10,29,0.405
10,30,0.405
10,31,0.428
11,1,0.799
11,2,0.799
11,3,0.799
11,4,0.799
11,5,0.428
11,6,0.799
11,7,0.799
11,8,0.799
11,9,0.799
11,10,0.799
11,11,0.613
11,12,0.613
11,13,0.799
11,14,0.405
11,15,0.405
11,16,0.405
11,17,0.799
11,18,0.799
11,19,0.799
11,20,0.799
11,21,0.799
11,22,0.405
11,23,0.405
11,24,0.405
11,25,0.405
11,26,0.405
11,27,0.405
11,28,0.405
11,29,0.405
11,30,0.405
12,1,0.405
12,2,0.405
12,3,0.405
12,4,0.405
12,5,0.405
12,6,0.405
12,7,0.405
12,8,0.405
12,9,0.405
12,10,0.405
12,11,0.405
12,12,0.405
12,13,0.405
12,14,0.521
12,15,0.521
12,16,0.521
12,17,0.521
12,18,0.521
12,19,0.405
12,20,0.405
12,21,0.22
12,22,0.405
12,23,0.405
12,24,0.405
12,25,0.405
12,26,0.451
12,27,0.405
12,28,0.405
12,29,0.44
12,30,0.405
12,31,0.405
