month,day,release
12,15,151.62
12,16,150.81
12,17,180.729
12,18,158.623
12,19,158.97
12,20,179.109
12,21,179.398
12,22,176.562
12,23,180.035
12,24,206.539
12,25,218.056
12,26,273.032
12,27,271.991
12,28,283.275
12,29,285.764
12,30,266.377
12,31,267.072
