SB_CODE,critical_0_level,critical_10_level,critical_20_level,critical_30_level,critical_40_level,critical_50_level
601,0.0,-2.471513316788334,-4.943026633576666,-7.414539950365,-9.886053267153333,-12.357566583941665
602,0.0,-2.0408005491495,-4.081601098299,-6.1224016474485,-8.163202196598,-10.2040027457475
603,0.0,-0.3900882527523333,-0.7801765055046663,-1.1702647582569994,-1.5603530110093327,-1.9504412637616657
604,0.0,-2.2997106689583333,-4.599421337916667,-6.899132006875,-9.198842675833333,-11.498553344791667
605,0.0,-0.1967903304613332,-0.3935806609226665,-0.5903709913839998,-0.787161321845333,-0.9839516523066664
606,0.0,-0.774062235777,-1.548124471554,-2.322186707331,-3.096248943108,-3.8703111788849998
607,0.0,-0.18222644001416655,-0.3644528800283331,-0.5466793200424996,-0.7289057600566662,-0.9111322000708327
608,0.0,-0.6546107326503336,-1.3092214653006669,-1.963832197951,-2.6184429306013337,-3.273053663251667
609,0.0,-0.07928729366933313,-0.1585745873386663,-0.2378618810079995,-0.3171491746773326,-0.3964364683466658
610,0.0,-1.913163330432166,-3.826326660864333,-5.7394899912965,-7.652653321728666,-9.565816652160834
611,0.0,-0.08705352117333331,-0.17410704234666663,-0.26116056351999994,-0.34821408469333326,-0.4352676058666666
612,0.0,-1.320747147084333,-2.641494294168666,-3.962241441252999,-5.282988588337332,-6.603735735421666
613,0.0,0.0,0.0,0.0,0.0,0.0
614,0.0,-3.4912718700453347,-6.982543740090668,-10.473815610136,-13.965087480181335,-17.456359350226666
615,0.0,0.0,0.0,0.0,0.0,0.0
616,0.0,-5.842652659789998,-11.68530531958,-17.52795797937,-23.37061063916,-29.21326329895
617,0.0,0.0,0.0,0.0,0.0,0.0
618,0.0,-0.06283841219283348,-0.12567682438566696,-0.18851523657850044,-0.2513536487713339,-0.3141920609641674
619,0.0,-0.40674771233600016,-0.8134954246720001,-1.220243137008,-1.6269908493440002,-2.03373856168
620,0.0,-1.9343175420281664,-3.8686350840563337,-5.8029526260845,-7.737270168112667,-9.671587710140834
621,0.0,0.0,0.0,0.0,0.0,0.0
622,0.0,0.0,0.0,0.0,0.0,0.0
623,0.0,-1.6833503323666665,-3.366700664733333,-5.0500509971,-6.733401329466666,-8.416751661833333
624,0.0,0.0,0.0,0.0,0.0,0.0
625,0.0,-0.9455673227173333,-1.8911346454346663,-2.8367019681519996,-3.7822692908693325,-4.727836613586666
626,0.0,0.0,0.0,0.0,0.0,0.0
627,0.0,-2.4496723145873336,-4.899344629174667,-7.349016943762001,-9.798689258349334,-12.248361572936666
628,0.0,0.0,0.0,0.0,0.0,0.0
629,0.0,-0.6833680538106663,-1.3667361076213331,-2.050104161432,-2.7334722152426663,-3.416840269053333
630,0.0,0.0,0.0,0.0,0.0,0.0
