Amphoe_ID,critical_0_level,critical_10_level,critical_20_level,critical_30_level,critical_40_level,critical_50_level
5001,0.0,-39.112700015829574,-80.57383281396713,-127.70650354951368,-187.08664612350753,-278.7396648714333
5002,0.0,-148.60076346396264,-306.1239205303492,-485.1949346143467,-710.797731596484,-1059.0147699039014
5003,0.0,-46.94215925977372,-96.70285330833364,-153.2703962064476,-224.5370719523912,-334.53690834729383
5004,0.0,-28.9744280569986,-59.68855950113593,-94.60412853136393,-138.5925432490435,-206.4884900091433
5005,0.0,-3.967957282042506,-8.17416150065996,-12.955739453384608,-18.979815240529003,-28.277952751230764
5006,0.0,-39.046605025000595,-80.4376743094727,-127.49069742573573,-186.77049586656406,-278.2686338358389
5007,0.0,-36.56278770969966,-75.32090453846487,-119.38080921386475,-174.88972438019061,-260.56751870472687
5008,0.0,-6.614860444287883,-13.626895082928774,-21.598117707703615,-31.640670539134774,-47.14131171373692
5011,0.0,-11.348686895206438,-23.378779787187973,-37.054489275310665,-54.283845612056545,-80.87729000095662
5012,0.0,-21.505820470199495,-44.302908835026734,-70.21844917638536,-102.86816870928212,-153.26288362149717
5013,0.0,-3.6180167464863153,-7.453269048967205,-11.813151950398654,-17.305954803551366,-25.784074610207888
5014,0.0,-11.06131412237107,-22.786779599413876,-36.11619117726884,-52.909263743885276,-78.8293058331317
5015,0.0,-8.466555371981425,-17.441465733026245,-27.64406914445963,-40.49782930152884,-60.33755803220994
5016,0.0,-152.98863617425243,-315.1631257507705,-499.52173592503743,-731.7861161532328,-1090.2852822507782
5017,0.0,-178.72776702233955,-368.1868347990145,-583.5623264156532,-854.9033558874837,-1273.7171778696982
5018,0.0,-8.039935605926333,-16.562610790990927,-26.251117017760183,-38.457191320286434,-57.29721945753731
5019,0.0,-19.67457361229492,-40.5304620821769,-64.23926253715109,-94.1088186073735,-140.21236204506286
5020,0.0,-7.693797365289951,-15.849551229256013,-25.120944351629685,-36.801518290566065,-54.8304386636999
5021,0.0,-1.5305846202586055,-3.1530696998784156,-4.997497236467399,-7.321201121285757,-10.907829015526605
5022,0.0,-6.827022689668949,-14.063958371370926,-22.2908466303263,-32.65550006781246,-48.653302273119294
5023,0.0,-2.2928224812675215,-4.7233122541523995,-7.486272802028267,-10.967191423842214,-16.33997575671182
5024,0.0,-10.176340157816984,-20.96369542890568,-33.22667113135501,-48.67619338903787,-72.52247081023849
5025,0.0,-4.07288727172268,-8.390321761706625,-13.298345361289668,-19.48172382365144,-29.02574439298849
5101,0.0,-6.845252088017768,-14.101511710676636,-22.350367264902708,-32.74269622140323,-48.78321548249888
5102,0.0,-5.3373742159519955,-10.995218882042032,-17.427009615257813,-25.530107631649408,-38.037207854374046
5103,0.0,-88.63147968885947,-182.5846342393762,-289.3897984772993,-423.94839193514065,-631.6390567650242
5104,0.0,-41.385285477156785,-85.25545594257557,-135.12670065086692,-197.95703839549793,-294.935419949085
5105,0.0,-3.756038345875281,-7.737599439591786,-12.263804957354013,-17.966149525772877,-26.76769615367406
5106,0.0,-19.736750458397495,-40.658549041163134,-64.44227556397568,-94.40622731603231,-140.65547012091494
5107,0.0,-0.3116789101888578,-0.6420718690101369,-1.0176598351490131,-1.4908447115914751,-2.221203725091213
5108,0.0,-47.338893608649364,-97.52014301436078,-154.56576974272605,-226.43475988247783,-337.36426619791087
5201,0.0,-3.141815209899687,-6.472273541647167,-10.258310857920465,-15.028153774146686,-22.39038773444381
5204,0.0,-2.45529236128233,-5.058007147226014,-8.016751656732824,-11.744328899285163,-17.49782985240711
5208,0.0,-2.221348019502201,-4.576071809733669,-7.252902219035063,-10.625309699242663,-15.830607507747455
5209,0.0,-13.377603360114444,-27.55843437433846,-43.67908506191135,-63.9887030248861,-95.33651923472743
5212,0.0,-6.597549541461734,-13.591233883635233,-21.54159604409261,-31.557867798597723,-47.01794423334232
5213,0.0,-1.7057980176806684,-3.5140167831771607,-5.569584828240585,-8.159294294764761,-12.156500768145195
5711,0.0,-4.570499254332545,-9.415423702426827,-14.92309349674767,-21.861936819933238,-32.572014459042414
5801,0.0,-2.845403885997756,-5.861653552575203,-9.290501073050642,-13.61033806622068,-20.2779896372763
5802,0.0,-5.884529676105762,-12.12238250285666,-19.21352168642608,-28.14730051035386,-41.93655332359787
5803,0.0,-10.213398932498581,-21.040038087793384,-33.34767138289737,-48.85345555354763,-72.78657301824545
5804,0.0,-0.39840683679770583,-0.8207351025904105,-1.3008343606313315,-1.9056878931649357,-2.839276964426792
5805,0.0,-5.223622169308719,-10.76088480679863,-17.05559889335585,-24.986000758752304,-37.22654514515289
6001,0.0,-208.88760176084264,-430.31738270119274,-682.0369149898652,-999.1660206122964,-1488.6535597657526
6005,0.0,-82.49041002776119,-169.93376840878915,-269.33865053416423,-394.57399113845,-587.8742515075531
6006,0.0,-62.8335755916029,-129.43984978722003,-205.15730801172305,-300.5500238189461,-447.7883090655712
6201,0.0,-128.18042151522155,-264.057143818028,-418.5206709991076,-613.121700886792,-913.4876324511423
6203,0.0,-2.4740392030387537,-5.096626442055077,-8.077961790841183,-11.8340001249535,-17.631430662028244
6204,0.0,-16.518906171466604,-34.02965235308953,-53.93572289222436,-79.01440585788843,-117.72325532151305
6205,0.0,-166.4267188722486,-342.84615014464765,-543.3982914958817,-796.0641082448283,-1186.0528121384643
6206,0.0,-2.905453068920208,-5.985357434522774,-9.486567087131178,-13.897569585161374,-20.7059347578339
6209,0.0,-1.466400105321773,-3.020846857331803,-4.78792898929226,-7.014189188390909,-10.450413133314752
6211,0.0,-9.346059268578403,-19.253281329877325,-30.51572892369031,-44.70473483861248,-66.60541019509678
6301,0.0,-91.83748973581682,-189.1891518875798,-299.85771128505314,-439.283607015684,-654.4869339430678
6302,0.0,-73.81734059225442,-152.06687488321757,-241.02029429175565,-353.0883490930642,-526.0649551183648
6303,0.0,-86.70220022550768,-178.6102361316359,-283.09052651359383,-414.7201253085113,-617.8898982860551
6304,0.0,-15.44815813900554,-31.82386566696239,-50.43963371012285,-73.89272778004131,-110.09248711555561
6305,0.0,-6.138449856379003,-12.645468920954828,-20.042594043748224,-29.361869560589994,-43.7461350176464
6306,0.0,-4.5836885147552815,-9.442594142304703,-14.9661576250822,-21.925024627636123,-32.66600873784822
6307,0.0,-0.232214066330716,-0.47837089615419487,-0.7581999318407732,-1.11074282355687,-1.6548914035916809
