Tambol_ID,critical_0_level,critical_10_level,critical_20_level,critical_30_level,critical_40_level,critical_50_level
500101,0.0,-0.045743666666666516,-0.09148733333333306,-0.1372309999999996,-0.18297466666666612,-0.22871833333333266
500102,0.0,-0.025168366666666525,-0.050336733333333036,-0.07550509999999955,-0.10067346666666607,-0.12584183333333257
500103,0.0,-0.03567358333333323,-0.07134716666666649,-0.10702074999999975,-0.14269433333333298,-0.17836791666666624
500104,0.0,0.0,0.0,0.0,0.0,0.0
500105,0.0,0.0,0.0,0.0,0.0,0.0
500106,0.0,0.0,0.0,0.0,0.0,0.0
500107,0.0,-0.5814367666666667,-1.1628735333333333,-1.7443103,-2.3257470666666666,-2.9071838333333333
500108,0.0,-0.8848208333333334,-1.7696416666666663,-2.6544624999999993,-3.5392833333333327,-4.424104166666665
500109,0.0,-0.26459716666666666,-0.5291943333333331,-0.7937914999999997,-1.0583886666666662,-1.3229858333333326
500110,0.0,0.0,0.0,0.0,0.0,0.0
500111,0.0,0.0,0.0,0.0,0.0,0.0
500112,0.0,-0.12360224999999991,-0.24720449999999988,-0.3708067499999998,-0.49440899999999977,-0.6180112499999997
500113,0.0,-0.06571196666666645,-0.1314239333333329,-0.19713589999999936,-0.2628478666666658,-0.32855983333333233
500114,0.0,0.0,0.0,0.0,0.0,0.0
500115,0.0,0.0,0.0,0.0,0.0,0.0
500116,0.0,0.0,0.0,0.0,0.0,0.0
500203,0.0,-1.8891780166666674,-3.778356033333334,-5.66753405,-7.556712066666668,-9.445890083333333
500204,0.0,0.0,0.0,0.0,0.0,0.0
500205,0.0,0.0,0.0,0.0,0.0,0.0
500206,0.0,0.0,0.0,0.0,0.0,0.0
500207,0.0,-0.9886284000000005,-1.9772568000000001,-2.9658852,-3.9545136000000003,-4.943142
500209,0.0,0.0,0.0,0.0,0.0,0.0
500301,0.0,0.0,0.0,0.0,0.0,0.0
500302,0.0,0.0,0.0,0.0,0.0,0.0
500303,0.0,0.0,0.0,0.0,0.0,0.0
500304,0.0,-8.53355221666667,-17.067104433333334,-25.60065665,-34.13420886666667,-42.66776108333333
500305,0.0,-6.61369298333333,-13.227385966666667,-19.84107895,-26.454771933333333,-33.06846491666667
500307,0.0,-2.8112740166666654,-5.622548033333333,-8.43382205,-11.245096066666665,-14.056370083333332
500308,0.0,0.0,0.0,0.0,0.0,0.0
500401,0.0,-2.7226888833333334,-5.445377766666667,-8.16806665,-10.890755533333333,-13.613444416666667
500402,0.0,-7.200179966666667,-14.400359933333334,-21.6005399,-28.800719866666668,-36.000899833333335
500403,0.0,-0.7595460333333337,-1.519092066666667,-2.2786381,-3.038184133333334,-3.797730166666667
500404,0.0,-2.6122639333333346,-5.2245278666666675,-7.8367918,-10.449055733333335,-13.061319666666668
500405,0.0,-2.0805178166666654,-4.1610356333333325,-6.24155345,-8.322071266666665,-10.402589083333332
500406,0.0,-3.7892895666666675,-7.578579133333333,-11.3678687,-15.157158266666666,-18.946447833333334
500407,0.0,-2.1178783833333323,-4.2357567666666665,-6.35363515,-8.471513533333333,-10.589391916666667
500501,0.0,-0.8283615833333338,-1.6567231666666666,-2.48508475,-3.3134463333333333,-4.141807916666666
500502,0.0,-0.19772788333333313,-0.39545576666666626,-0.5931836499999994,-0.7909115333333325,-0.9886394166666657
500503,0.0,-1.8201164333333342,-3.6402328666666666,-5.4603493,-7.280465733333333,-9.100582166666666
500504,0.0,-0.3083031833333334,-0.6166063666666666,-0.9249095499999997,-1.2332127333333331,-1.5415159166666663
500505,0.0,-0.08881541666666665,-0.1776308333333333,-0.26644624999999994,-0.3552616666666666,-0.44407708333333323
500506,0.0,-0.09458911666666653,-0.1891782333333331,-0.2837673499999997,-0.3783564666666662,-0.4729455833333328
500507,0.0,-0.08080139999999991,-0.16160279999999988,-0.24240419999999985,-0.32320559999999976,-0.4040069999999997
500508,0.0,-0.13746809999999987,-0.27493619999999963,-0.4124042999999994,-0.5498723999999993,-0.687340499999999
500509,0.0,-0.049046583333333144,-0.09809316666666631,-0.1471397499999995,-0.19618633333333263,-0.2452329166666658
500510,0.0,-0.06436574999999983,-0.12873149999999972,-0.1930972499999996,-0.25746299999999944,-0.32182874999999933
500511,0.0,-0.10004618333333326,-0.20009236666666652,-0.3001385499999998,-0.40018473333333304,-0.5002309166666663
500512,0.0,-0.7409694833333331,-1.4819389666666662,-2.2229084499999994,-2.9638779333333325,-3.7048474166666656
500513,0.0,-2.041776716666668,-4.083553433333334,-6.12533015,-8.167106866666668,-10.208883583333334
500514,0.0,-1.6400700666666665,-3.280140133333333,-4.9202102,-6.560280266666666,-8.200350333333333
500601,0.0,0.0,0.0,0.0,0.0,0.0
500602,0.0,-0.30346091666666664,-0.6069218333333333,-0.9103827499999999,-1.2138436666666665,-1.5173045833333334
500603,0.0,0.0,0.0,0.0,0.0,0.0
500604,0.0,-0.015064666666666587,-0.030129333333333168,-0.04519399999999975,-0.060258666666666336,-0.07532333333333291
500605,0.0,-0.34360469999999976,-0.6872093999999997,-1.0308140999999997,-1.3744187999999995,-1.7180234999999995
500606,0.0,-1.1558669999999998,-2.3117339999999995,-3.4676009999999993,-4.623467999999999,-5.779335
500607,0.0,-1.7774240500000005,-3.5548481,-5.33227215,-7.1096962,-8.887120249999999
500608,0.0,-0.3531649666666665,-0.706329933333333,-1.0594948999999996,-1.412659866666666,-1.7658248333333326
500609,0.0,-4.1170364333333325,-8.234072866666665,-12.351109299999997,-16.46814573333333,-20.585182166666666
500610,0.0,-0.5551366333333334,-1.1102732666666668,-1.6654099000000002,-2.2205465333333336,-2.7756831666666666
500611,0.0,-0.5646306999999999,-1.1292613999999999,-1.6938920999999998,-2.2585227999999997,-2.8231535
500612,0.0,-1.3754790833333326,-2.750958166666666,-4.1264372499999995,-5.501916333333332,-6.8773954166666655
500613,0.0,-0.3101020166666668,-0.6202040333333334,-0.93030605,-1.2404080666666668,-1.5505100833333334
500701,0.0,0.0,0.0,0.0,0.0,0.0
500702,0.0,0.0,0.0,0.0,0.0,0.0
500703,0.0,0.0,0.0,0.0,0.0,0.0
500704,0.0,0.0,0.0,0.0,0.0,0.0
500705,0.0,-0.9502442499999999,-1.9004884999999998,-2.8507327499999997,-3.8009769999999996,-4.7512212499999995
500706,0.0,-0.33131126666666666,-0.6626225333333333,-0.9939338,-1.3252450666666666,-1.6565563333333333
500707,0.0,-1.3051326666666672,-2.6102653333333334,-3.9153979999999997,-5.220530666666667,-6.525663333333333
500708,0.0,-0.7609833000000004,-1.5219666000000003,-2.2829499,-3.0439332000000006,-3.8049165000000005
500709,0.0,0.0,0.0,0.0,0.0,0.0
500710,0.0,0.0,0.0,0.0,0.0,0.0
500711,0.0,0.0,0.0,0.0,0.0,0.0
500801,0.0,-2.76064255,-5.5212851,-8.28192765,-11.0425702,-13.80321275
500802,0.0,-1.8176061666666659,-3.6352123333333335,-5.4528185,-7.270424666666667,-9.088030833333335
500803,0.0,-2.1045338166666667,-4.2090676333333334,-6.31360145,-8.418135266666667,-10.522669083333334
500804,0.0,-2.7922245666666665,-5.584449133333333,-8.3766737,-11.168898266666666,-13.961122833333333
500805,0.0,-2.8542356166666654,-5.7084712333333325,-8.56270685,-11.416942466666665,-14.271178083333332
501101,0.0,-0.049471416666666435,-0.0989428333333329,-0.14841424999999936,-0.1978856666666658,-0.24735708333333226
501102,0.0,-0.04238979999999984,-0.08477959999999965,-0.12716939999999946,-0.1695591999999993,-0.2119489999999991
501103,0.0,-1.1249110999999994,-2.2498221999999997,-3.3747332999999995,-4.499644399999999,-5.6245555
501104,0.0,-0.87962425,-1.7592484999999995,-2.6388727499999995,-3.518496999999999,-4.398121249999999
501105,0.0,-3.2035973999999996,-6.407194800000001,-9.6107922,-12.814389600000002,-16.017987
501106,0.0,-0.5053344500000003,-1.0106689000000002,-1.51600335,-2.0213378000000004,-2.5266722500000003
501107,0.0,-0.7527461500000001,-1.5054922999999998,-2.2582384499999995,-3.0109845999999996,-3.7637307499999992
501108,0.0,-0.4537319499999999,-0.9074639,-1.3611958499999999,-1.8149278,-2.26865975
501109,0.0,-1.7702151833333328,-3.5404303666666666,-5.31064555,-7.080860733333333,-8.851075916666668
501110,0.0,-3.5120467666666677,-7.024093533333334,-10.5361403,-14.048187066666667,-17.56023383333333
501111,0.0,-3.4865814833333353,-6.973162966666667,-10.45974445,-13.946325933333334,-17.432907416666666
501201,0.0,-0.09316768333333336,-0.18633536666666667,-0.27950305,-0.37267073333333334,-0.46583841666666664
501202,0.0,-0.14422795,-0.2884559,-0.43268385,-0.5769118,-0.7211397499999999
501203,0.0,0.0,0.0,0.0,0.0,0.0
501204,0.0,-0.09493891666666665,-0.1898778333333333,-0.28481674999999995,-0.3797556666666666,-0.47469458333333325
501205,0.0,0.0,0.0,0.0,0.0,0.0
501206,0.0,-0.0783463333333333,-0.15669266666666665,-0.235039,-0.3133853333333333,-0.39173166666666664
501207,0.0,-0.07875066666666658,-0.1575013333333331,-0.23625199999999966,-0.3150026666666662,-0.39375333333333273
501208,0.0,-0.05995064999999994,-0.11990129999999985,-0.17985194999999976,-0.2398025999999997,-0.2997532499999996
501210,0.0,-0.09036334999999984,-0.18072669999999974,-0.27109004999999964,-0.3614533999999995,-0.4518167499999994
