Sbswat,Tambol_ID,Tambol,Amphoe_ID,Amphoe,Province_ID,Province,per_sbswat,per_tambol
16,520508,บ้านแหง,5205,งาว,52,ลำปาง,0.5068,0.1328
18,520508,บ้านแหง,5205,งาว,52,ลำปาง,0.3561,0.1044
12,520508,บ้านแหง,5205,งาว,52,ลำปาง,0.6864,0.0462
537,520508,บ้านแหง,5205,งาว,52,ลำปาง,0.0023,0.0016
630,520508,บ้านแหง,5205,งาว,52,ลำปาง,0.0002,0.0008
9,520508,บ้านแหง,5205,งาว,52,ลำปาง,0.0047,0.0006
540,520509,บ้านหวด,5205,งาว,52,ลำปาง,0.9132,0.7643
541,520509,บ้านหวด,5205,งาว,52,ลำปาง,0.219,0.0801
598,520509,บ้านหวด,5205,งาว,52,ลำปาง,0.63,0.0661
542,520509,บ้านหวด,5205,งาว,52,ลำปาง,0.6116,0.056
599,520509,บ้านหวด,5205,งาว,52,ลำปาง,0.0509,0.0336
599,520510,แม่ตีบ,5205,งาว,52,ลำปาง,0.9168,0.7692
26,520510,แม่ตีบ,5205,งาว,52,ลำปาง,0.5815,0.1416
600,520510,แม่ตีบ,5205,งาว,52,ลำปาง,0.1413,0.0454
542,520510,แม่ตีบ,5205,งาว,52,ลำปาง,0.1911,0.0222
598,520510,แม่ตีบ,5205,งาว,52,ลำปาง,0.1497,0.02
596,520510,แม่ตีบ,5205,งาว,52,ลำปาง,0.0036,0.0006
41,520510,แม่ตีบ,5205,งาว,52,ลำปาง,0.0042,0.0005
630,520510,แม่ตีบ,5205,งาว,52,ลำปาง,0.0002,0.0003
39,520510,แม่ตีบ,5205,งาว,52,ลำปาง,0.0013,0.0001
539,520510,แม่ตีบ,5205,งาว,52,ลำปาง,0,0
541,520510,แม่ตีบ,5205,งาว,52,ลำปาง,0,0
541,520601,แจ้ห่ม,5206,แจ้ห่ม,52,ลำปาง,0,1
543,520603,ปงดอน,5206,แจ้ห่ม,52,ลำปาง,0.0011,0.8222
602,520603,ปงดอน,5206,แจ้ห่ม,52,ลำปาง,0.0001,0.1744
541,520603,ปงดอน,5206,แจ้ห่ม,52,ลำปาง,0,0.0033
540,520605,เมืองมาย,5206,แจ้ห่ม,52,ลำปาง,0.0001,0.5606
541,520605,เมืองมาย,5206,แจ้ห่ม,52,ลำปาง,0.0002,0.4394
601,520606,ทุ่งผึ้ง,5206,แจ้ห่ม,52,ลำปาง,0.0002,0.9967
602,520606,ทุ่งผึ้ง,5206,แจ้ห่ม,52,ลำปาง,0,0.0033
601,520705,วังทอง,5207,วังเหนือ,52,ลำปาง,0,1
591,520801,ล้อมแรด,5208,เถิน,52,ลำปาง,0.0006,0.6445
587,520801,ล้อมแรด,5208,เถิน,52,ลำปาง,0.0004,0.3555
591,520802,แม่วะ,5208,เถิน,52,ลำปาง,0.012,1
585,520803,แม่ปะ,5208,เถิน,52,ลำปาง,0.0157,0.6843
587,520803,แม่ปะ,5208,เถิน,52,ลำปาง,0.0029,0.3157
587,520804,แม่มอก,5208,เถิน,52,ลำปาง,0.9668,0.9681
591,520804,แม่มอก,5208,เถิน,52,ลำปาง,0.0163,0.0229
588,520804,แม่มอก,5208,เถิน,52,ลำปาง,0.0056,0.0062
581,520804,แม่มอก,5208,เถิน,52,ลำปาง,0.0009,0.0011
590,520804,แม่มอก,5208,เถิน,52,ลำปาง,0.0008,0.0009
585,520804,แม่มอก,5208,เถิน,52,ลำปาง,0.0021,0.0008
591,520805,เวียงมอก,5208,เถิน,52,ลำปาง,0.9638,0.6124
511,520805,เวียงมอก,5208,เถิน,52,ลำปาง,0.9996,0.1696
605,520805,เวียงมอก,5208,เถิน,52,ลำปาง,0.2431,0.1148
592,520805,เวียงมอก,5208,เถิน,52,ลำปาง,0.744,0.0888
587,520805,เวียงมอก,5208,เถิน,52,ลำปาง,0.0285,0.0129
590,520805,เวียงมอก,5208,เถิน,52,ลำปาง,0.0008,0.0004
603,520805,เวียงมอก,5208,เถิน,52,ลำปาง,0.0035,0.0004
593,520805,เวียงมอก,5208,เถิน,52,ลำปาง,0.0018,0.0004
594,520805,เวียงมอก,5208,เถิน,52,ลำปาง,0.0039,0.0003
591,520808,เถินบุรี,5208,เถิน,52,ลำปาง,0.0065,1
125,521004,บ้านกิ่ว,5210,แม่ทะ,52,ลำปาง,0.0005,1
560,521007,ดอนไฟ,5210,แม่ทะ,52,ลำปาง,0,0.9831
111,521007,ดอนไฟ,5210,แม่ทะ,52,ลำปาง,0,0.0169
558,521008,หัวเสือ,5210,แม่ทะ,52,ลำปาง,0.0022,0.7437
560,521008,หัวเสือ,5210,แม่ทะ,52,ลำปาง,0.0011,0.2523
559,521008,หัวเสือ,5210,แม่ทะ,52,ลำปาง,0,0.0039
126,521010,วังเงิน,5210,แม่ทะ,52,ลำปาง,0,0.551
111,521010,วังเงิน,5210,แม่ทะ,52,ลำปาง,0,0.3571
561,521010,วังเงิน,5210,แม่ทะ,52,ลำปาง,0,0.0918
586,521011,สันดอนแก้ว,5210,แม่ทะ,52,ลำปาง,0.0003,0.4056
125,521011,สันดอนแก้ว,5210,แม่ทะ,52,ลำปาง,0.0008,0.32
583,521011,สันดอนแก้ว,5210,แม่ทะ,52,ลำปาง,0.0003,0.2744
585,521101,สบปราบ,5211,สบปราบ,52,ลำปาง,0,1
584,521102,สมัย,5211,สบปราบ,52,ลำปาง,0.0001,0.4596
119,521102,สมัย,5211,สบปราบ,52,ลำปาง,0.0001,0.3141
583,521102,สมัย,5211,สบปราบ,52,ลำปาง,0,0.2263
570,530110,บ้านด่านนาขาม,5301,เมืองอุตรดิตถ์,53,อุตรดิตถ์,0.0008,1
160,530205,ข่อยสูง,5302,ตรอน,53,อุตรดิตถ์,0.0021,1
570,530305,น้ำหมัน,5303,ท่าปลา,53,อุตรดิตถ์,0.0003,0.7764
571,530305,น้ำหมัน,5303,ท่าปลา,53,อุตรดิตถ์,0.0003,0.2116
569,530305,น้ำหมัน,5303,ท่าปลา,53,อุตรดิตถ์,0,0.012
190,530705,คอรุม,5307,พิชัย,53,อุตรดิตถ์,0.4218,0.6844
177,530705,คอรุม,5307,พิชัย,53,อุตรดิตถ์,0.1967,0.3099
254,530705,คอรุม,5307,พิชัย,53,อุตรดิตถ์,0.0033,0.0058
176,530707,ท่ามะเฟือง,5307,พิชัย,53,อุตรดิตถ์,0.8733,0.7231
177,530707,ท่ามะเฟือง,5307,พิชัย,53,อุตรดิตถ์,0.2003,0.1944
190,530707,ท่ามะเฟือง,5307,พิชัย,53,อุตรดิตถ์,0.0435,0.0435
254,530707,ท่ามะเฟือง,5307,พิชัย,53,อุตรดิตถ์,0.0149,0.0161
185,530707,ท่ามะเฟือง,5307,พิชัย,53,อุตรดิตถ์,0.0218,0.0139
621,530707,ท่ามะเฟือง,5307,พิชัย,53,อุตรดิตถ์,0.0066,0.009
621,530709,พญาแมน,5307,พิชัย,53,อุตรดิตถ์,0.7614,0.8814
176,530709,พญาแมน,5307,พิชัย,53,อุตรดิตถ์,0.1163,0.0815
239,530709,พญาแมน,5307,พิชัย,53,อุตรดิตถ์,0.1157,0.0316
241,530709,พญาแมน,5307,พิชัย,53,อุตรดิตถ์,0.0104,0.0042
233,530709,พญาแมน,5307,พิชัย,53,อุตรดิตถ์,0.0015,0.0014
116,530802,แม่พูล,5308,ลับแล,53,อุตรดิตถ์,0.5346,0.9906
573,530802,แม่พูล,5308,ลับแล,53,อุตรดิตถ์,0.0018,0.0056
579,530802,แม่พูล,5308,ลับแล,53,อุตรดิตถ์,0.0002,0.0031
639,530802,แม่พูล,5308,ลับแล,53,อุตรดิตถ์,0.0002,0.0005
118,530802,แม่พูล,5308,ลับแล,53,อุตรดิตถ์,0.0001,0.0001
573,530803,นานกกก,5308,ลับแล,53,อุตรดิตถ์,0.0024,0.9834
570,530803,นานกกก,5308,ลับแล,53,อุตรดิตถ์,0,0.0166
579,530804,ฝายหลวง,5308,ลับแล,53,อุตรดิตถ์,0,1
579,530805,ชัยจุมพล,5308,ลับแล,53,อุตรดิตถ์,0,1
633,540101,ในเวียง,5401,เมืองแพร่,54,แพร่,0.3225,0.6753
91,540101,ในเวียง,5401,เมืองแพร่,54,แพร่,0.171,0.3118
69,540101,ในเวียง,5401,เมืองแพร่,54,แพร่,0.0202,0.0129
90,540102,นาจักร,5401,เมืองแพร่,54,แพร่,0.1769,0.8253
91,540102,นาจักร,5401,เมืองแพร่,54,แพร่,0.1952,0.173
49,540102,นาจักร,5401,เมืองแพร่,54,แพร่,0.0021,0.0016
93,540103,น้ำชำ,5401,เมืองแพร่,54,แพร่,0.2222,0.6842
96,540103,น้ำชำ,5401,เมืองแพร่,54,แพร่,0.1817,0.2874
66,540103,น้ำชำ,5401,เมืองแพร่,54,แพร่,0.0839,0.0273
566,540103,น้ำชำ,5401,เมืองแพร่,54,แพร่,0.0003,0.0011
565,540103,น้ำชำ,5401,เมืองแพร่,54,แพร่,0,0
567,540104,ป่าแดง,5401,เมืองแพร่,54,แพร่,0.8836,0.7894
566,540104,ป่าแดง,5401,เมืองแพร่,54,แพร่,0.1879,0.0857
