OID,SUBBASIN,WUPND1,WUPND2,WUPND3,WUPND4,WUPND5,WUPND6,WUPND7,WUPND8,WUPND9,WUPND10,WUPND11,WUPND12,WURCH1,WURCH2,WURCH3,WURCH4,WURCH5,WURCH6,WURCH7,WURCH8,WURCH9,WURCH10,WURCH11,WURCH12,WUSHAL1,WUSHAL2,WUSHAL3,WUSHAL4,WUSHAL5,WUSHAL6,WUSHAL7,WUSHAL8,WUSHAL9,WUSHAL10,WUSHAL11,WUSHAL12,WUDEEP1,WUDEEP2,WUDEEP3,WUDEEP4,WUDEEP5,WUDEEP6,WUDEEP7,WUDEEP8,WUDEEP9,WUDEEP10,WUDEEP11,WUDEEP12
22,22,0,0,0,0,0,0,0,0,0,0,0,0,0.00417,0.00448,0.00408,0.00439,0.00442,0.00441,0.00421,0.00415,0.00444,0.00412,0.00434,0.00413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,23,0,0,0,0,0,0,0,0,0,0,0,0,0.00417,0.00445,0.00403,0.00453,0.0045,0.00443,0.00412,0.00409,0.00484,0.004,0.0043,0.00402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,24,0,0,0,0,0,0,0,0,0,0,0,0,0.01554,0.01656,0.01538,0.01655,0.0173,0.01648,0.01562,0.01531,0.01571,0.01526,0.01598,0.01545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,25,0,0,0,0,0,0,0,0,0,0,0,0,0.00141,0.00149,0.00139,0.00151,0.00159,0.0015,0.00142,0.00138,0.00142,0.00138,0.00145,0.0014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,26,0,0,0,0,0,0,0,0,0,0,0,0,0.01939,0.02071,0.01896,0.02149,0.02292,0.02102,0.01947,0.01928,0.02201,0.019,0.02019,0.01908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,27,0,0,0,0,0,0,0,0,0,0,0,0,0.00154,0.00164,0.00153,0.00164,0.00172,0.00163,0.00155,0.00152,0.00156,0.00151,0.00158,0.00153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,28,0,0,0,0,0,0,0,0,0,0,0,0,0.01717,0.01811,0.01694,0.01847,0.01977,0.01836,0.01728,0.01682,0.01721,0.01676,0.01763,0.01704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,29,0,0,0,0,0,0,0,0,0,0,0,0,0.00882,0.00932,0.00871,0.00947,0.01009,0.00942,0.00887,0.00865,0.00886,0.00862,0.00906,0.00876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,30,0,0,0,0,0,0,0,0,0,0,0,0,0.01372,0.01446,0.01353,0.01476,0.01582,0.01467,0.01381,0.01344,0.01375,0.01339,0.01409,0.01362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,31,0,0,0,0,0,0,0,0,0,0,0,0,0.01415,0.01488,0.01395,0.01527,0.01645,0.01518,0.01426,0.01386,0.01417,0.01378,0.01452,0.01403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,32,0,0,0,0,0,0,0,0,0,0,0,0,0.02138,0.02264,0.02112,0.02289,0.02428,0.02277,0.02149,0.02098,0.02149,0.02094,0.02198,0.02125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,33,0,0,0,0,0,0,0,0,0,0,0,0,0.01583,0.01668,0.01561,0.01703,0.01826,0.01693,0.01593,0.0155,0.01586,0.01545,0.01625,0.01571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,34,0,0,0,0,0,0,0,0,0,0,0,0,0.00589,0.00626,0.00583,0.0063,0.00664,0.00627,0.00593,0.0058,0.00595,0.00578,0.00606,0.00586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,35,0,0,0,0,0,0,0,0,0,0,0,0,0.0285,0.03031,0.0282,0.03043,0.03195,0.03028,0.02866,0.02806,0.02877,0.02796,0.0293,0.02833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,36,0,0,0,0,0,0,0,0,0,0,0,0,0.02332,0.02485,0.02309,0.02486,0.026,0.02474,0.02344,0.02298,0.02357,0.0229,0.02398,0.02319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,37,0,0,0,0,0,0,0,0,0,0,0,0,0.01513,0.01615,0.01499,0.0161,0.01675,0.01603,0.01521,0.01493,0.01532,0.01488,0.01556,0.01505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,38,0,0,0,0,0,0,0,0,0,0,0,0,0.00216,0.00227,0.00213,0.00233,0.00252,0.00232,0.00217,0.00211,0.00216,0.0021,0.00221,0.00214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,39,0,0,0,0,0,0,0,0,0,0,0,0,0.00442,0.00472,0.00433,0.00489,0.0052,0.00479,0.00444,0.00439,0.00498,0.00433,0.0046,0.00435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,40,0,0,0,0,0,0,0,0,0,0,0,0,0.01412,0.01481,0.0139,0.01527,0.01657,0.01517,0.01422,0.01379,0.01409,0.01374,0.01449,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
