OID,SUBBASIN,WUPND1,WUPND2,WUPND3,WUPND4,WUPND5,WUPND6,WUPND7,WUPND8,WUPND9,WUPND10,WUPND11,WUPND12,WURCH1,WURCH2,WURCH3,WURCH4,WURCH5,WURCH6,WURCH7,WURCH8,WURCH9,WURCH10,WURCH11,WURCH12,WUSHAL1,WUSHAL2,WUSHAL3,WUSHAL4,WUSHAL5,WUSHAL6,WUSHAL7,WUSHAL8,WUSHAL9,WUSHAL10,WUSHAL11,WUSHAL12,WUDEEP1,WUDEEP2,WUDEEP3,WUDEEP4,WUDEEP5,WUDEEP6,WUDEEP7,WUDEEP8,WUDEEP9,WUDEEP10,WUDEEP11,WUDEEP12
22,22,0,0,0,0,0,0,0,0,0,0,0,0,0.00538,0.00578,0.00527,0.00589,0.00622,0.00589,0.00544,0.00541,0.00552,0.00534,0.00569,0.00544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,23,0,0,0,0,0,0,0,0,0,0,0,0,0.08894,0.09562,0.08723,0.09734,0.10266,0.09742,0.09007,0.08954,0.09146,0.0882,0.09399,0.08976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,24,0,0,0,0,0,0,0,0,0,0,0,0,0.17062,0.18376,0.16763,0.18512,0.19403,0.18526,0.17222,0.17131,0.17514,0.1696,0.18025,0.17234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,25,0,0,0,0,0,0,0,0,0,0,0,0,0.04058,0.04396,0.04008,0.04362,0.04469,0.04365,0.04096,0.04081,0.04186,0.04033,0.04251,0.04079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,26,0,0,0,0,0,0,0,0,0,0,0,0,0.02681,0.02921,0.02663,0.0283,0.02827,0.02831,0.02694,0.02689,0.02767,0.02672,0.02791,0.02688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,27,0,0,0,0,0,0,0,0,0,0,0,0,0.02397,0.02601,0.02372,0.02557,0.02601,0.02559,0.02413,0.02406,0.0247,0.02387,0.02509,0.0241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,28,0,0,0,0,0,0,0,0,0,0,0,0,0.00529,0.00574,0.00524,0.00565,0.00575,0.00566,0.00533,0.00531,0.00546,0.00527,0.00554,0.00532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,29,0,0,0,0,0,0,0,0,0,0,0,0,0.01361,0.01477,0.01346,0.01454,0.0148,0.01455,0.01371,0.01367,0.01403,0.01354,0.01424,0.01368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,30,0,0,0,0,0,0,0,0,0,0,0,0,0.00887,0.00961,0.00876,0.00952,0.00976,0.00952,0.00894,0.00891,0.00914,0.00883,0.00931,0.00893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,31,0,0,0,0,0,0,0,0,0,0,0,0,0.11646,0.12581,0.11474,0.12544,0.12992,0.12553,0.11741,0.11688,0.1197,0.11585,0.12257,0.11742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
