Tambol_ID,critical_0_level,critical_10_level,critical_20_level,critical_30_level,critical_40_level,critical_50_level
520201,0.0,-0.04621294056242745,-0.09520063164168785,-0.1508894311970432,-0.22104902125985781,-0.32934007521549735
520202,0.0,-0.03541082173696904,-0.07294780542598706,-0.11561953611009276,-0.16937955887897613,-0.25235794460086103
520203,0.0,-0.028365774603293276,-0.05843470738658878,-0.09261681994835676,-0.13568118879744254,-0.20215087435898366
520205,0.0,-0.033825311548818966,-0.0696815867099909,-0.11044270192608527,-0.16179563387825774,-0.24105868430135904
520501,0.0,-0.03581058252643585,-0.07377132972891276,-0.11692479124866254,-0.17129172309476184,-0.2552068706131185
520502,0.0,-0.0805279177582735,-0.16589095050165398,-0.26293093575411103,-0.38518685865735913,-0.5738883994112166
520503,0.0,-0.04997992930943519,-0.10296078937538194,-0.1631889902046296,-0.23906754952247955,-0.3561858102450514
520504,0.0,-0.048402684470003246,-0.09971159763081691,-0.15803914313184128,-0.23152315992509795,-0.3449454535888879
520505,0.0,-0.022443510844496656,-0.04623459106149814,-0.07328009306865209,-0.10735339594132064,-0.15994540619291203
520506,0.0,-0.02766640838186049,-0.05699398309553612,-0.09033332597316023,-0.1323359305890607,-0.1971667871927773
520507,0.0,-0.026865910883277208,-0.055344924053517944,-0.08771962923008626,-0.12850693406927066,-0.19146198020181987
520508,0.0,-0.017043767909521904,-0.03511088995405803,-0.05564944394412913,-0.08152496182082579,-0.121463722865563
520509,0.0,-0.041217476134652056,-0.08490976152868633,-0.13457878796814368,-0.19715436082364288,-0.29373951376329027
520510,0.0,-0.21483582677795732,-0.4425709803274084,-0.7014584077263427,-1.0276179932040517,-1.531044042835942
520601,0.0,-0.05530485230341576,-0.11393035820828266,-0.18057534545385678,-0.2645380995843925,-0.3941342835084064
520603,0.0,-0.01825013198075076,-0.037596051473171556,-0.0595883317601593,-0.08729532817238844,-0.13006096920220503
520605,0.0,-0.04052400398608853,-0.08348117927952209,-0.13231453867402249,-0.19383729556345108,-0.28879743116070755
520606,0.0,-0.056728621687334585,-0.11686338395846335,-0.1852240812815427,-0.27134837447676513,-0.40428088552685887
520705,0.0,-0.056844027947802384,-0.11710112578484848,-0.1856008931612161,-0.2719003939027786,-0.4051033371181282
520801,0.0,-0.13653715819011783,-0.2812723783439219,-0.4458061721637696,-0.6530942375925399,-0.9730425590922761
520802,0.0,-0.16050204794842118,-0.3306410749567664,-0.5240537050046077,-0.7677248012658742,-1.1438301891256624
520803,0.0,-0.07198881428402594,-0.1483000325789145,-0.23504999049330522,-0.34434201211769266,-0.5130338217484381
520804,0.0,-0.10993094746069697,-0.22646244770098709,-0.3589344874275905,-0.5258295197538819,-0.7834313520107901
520805,0.0,-0.13749067936859238,-0.2832366727032449,-0.4489195050636746,-0.6576551878520808,-0.9798379011072289
520808,0.0,-0.16050204794842118,-0.3306410749567664,-0.5240537050046077,-0.7677248012658742,-1.1438301891256624
521004,0.0,-0.0433687625125325,-0.08934150336384859,-0.14160293258975304,-0.20744454669999382,-0.30907082159348825
521007,0.0,-0.06044338499376516,-0.1245159550536488,-0.19735311950151427,-0.2891170943007992,-0.4307544319374133
521008,0.0,-0.03574585421504835,-0.07363798664244836,-0.11671344745688604,-0.17098211003604116,-0.2547455793236768
521010,0.0,-0.026910096018948514,-0.05543594732046196,-0.08786389769488566,-0.12871828355007642,-0.19177686896951768
521011,0.0,-0.689778546091179,-1.4209732702911988,-2.2521893479386574,-3.299397758373108,-4.915759860483815
521101,0.0,-0.059564578267757996,-0.12270557565799385,-0.19448373604732294,-0.28491352351962274,-0.42449154821435503
521102,0.0,-0.029160970736600515,-0.060072845389679316,-0.0952132072542615,-0.13948482745012117,-0.20781790076256643
530110,0.0,-0.0575664583163315,-0.1185893632041532,-0.1879596936629841,-0.2753559741785249,-0.41025179270251005
530205,0.0,-0.017358741283287637,-0.03575974855876648,-0.05667786050086228,-0.08303156484470775,-0.1237084048387163
530305,0.0,-0.04695655200259019,-0.09673250297335191,-0.15331738981366053,-0.22460591634260113,-0.33463947933594
530705,0.0,-0.14541942652395815,-0.2995702305364322,-0.4748075817326368,-0.695580534674426,-1.0363427275201982
530707,0.0,-0.015671225015621133,-0.032283392961561956,-0.051167967240121,-0.07495971711573962,-0.1116821903681202
530709,0.0,-0.018512723319400293,-0.03813700084793168,-0.06044571623394264,-0.08855137372355572,-0.13193234657333228
530802,0.0,-0.008640905708791686,-0.017800634874597227,-0.028213338765265845,-0.04133179422215908,-0.06158007911699941
530803,0.0,-0.014564577756175619,-0.03000365233433575,-0.04755466383459694,-0.06966632330432697,-0.10379558356000185
530804,0.0,-0.08208293996206638,-0.16909436266751582,-0.268008223911356,-0.3926249513647777,-0.5849703847453265
530805,0.0,-0.08208293996206638,-0.16909436266751582,-0.268008223911356,-0.3926249513647777,-0.5849703847453265
540101,0.0,-0.8463009406313028,-1.7434160892275956,-2.763249124579668,-4.048086798656207,-6.031228743514928
540102,0.0,-0.01333688681716338,-0.02747455655656638,-0.043546141866100285,-0.06379394476326326,-0.0950463496598244
540103,0.0,-0.01716278402658675,-0.03535606823923572,-0.056038042332126885,-0.08209424816943617,-0.12231190037750997
540104,0.0,-0.0361046327191866,-0.0743770856869526,-0.1178848917267441,-0.17269824487237995,-0.2573024419275394
540105,0.0,-0.019027363678774587,-0.03919718197218958,-0.06212606355986382,-0.09101303806163942,-0.13559997067607252
540106,0.0,-0.1469980887925713,-0.302822342245659,-0.4799620568399175,-0.7031317042197919,-1.0475931855944378
540107,0.0,-0.47487865920789435,-0.9782703234103539,-1.5505217781737686,-2.271473348321047,-3.384259288380313
540108,0.0,-0.5518264872925739,-1.1367861362533336,-1.8017633973012246,-2.6395356676450685,-3.9326339033833095
540109,0.0,-0.030833980400512485,-0.06351931676346938,-0.10067573514152767,-0.14748728616114934,-0.21974073280578407
