Province_ID,critical_0_level,critical_10_level,critical_20_level,critical_30_level,critical_40_level,critical_50_level
52,0.0,-1.2552413500000004,-2.5104827,-3.7657240499999993,-5.0209654,-6.276206749999999
53,0.0,-0.3711460000000002,-0.7422920000000002,-1.1134380000000001,-1.4845840000000003,-1.8557300000000003
54,0.0,-1.0864950000000002,-2.1729900000000004,-3.2594850000000006,-4.345980000000001,-5.432475
55,0.0,-0.29650315000000016,-0.5930063000000001,-0.88950945,-1.1860126000000002,-1.4825157500000001
56,0.0,-0.8412068499999998,-1.6824137000000001,-2.52362055,-3.3648274000000002,-4.20603425
62,0.0,-1.5172512499999993,-3.0345024999999994,-4.55175375,-6.069004999999999,-7.586256249999999
63,0.0,-0.16345520000000002,-0.32691040000000005,-0.49036560000000007,-0.6538208000000001,-0.817276
64,0.0,0.0,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0,0.0,0.0
