Amphoe_ID,critical_0_level,critical_10_level,critical_20_level,critical_30_level,critical_40_level,critical_50_level
5202,0.0,-0.11516181552819195,-0.23723825936757323,-0.3760137448339631,-0.5508501796077433,-0.8207095356066589
5205,0.0,-0.48965395849264465,-1.0087080710949674,-1.5987644668602932,-2.3421476098150436,-3.4895565951205696
5206,0.0,-0.1475584417421986,-0.30397669325854765,-0.4817916599080155,-0.7058120242679797,-1.0515865839874308
5207,0.0,-0.056844027947802384,-0.11710112578484848,-0.1856008931612161,-0.2719003939027786,-0.4051033371181282
5208,0.0,-0.7518425072528464,-1.5488276814770505,-2.454833795220016,-3.5962665077608182,-5.358063453122405
5210,0.0,-0.7711433779408107,-1.5885882995715987,-2.51785288390537,-3.6885878039846367,-5.495612592535249
5211,0.0,-0.08635480139300171,-0.1778945796968008,-0.2819562379009804,-0.41305842252618075,-0.6154141337873054
5301,0.0,-0.0575664583163315,-0.1185893632041532,-0.1879596936629841,-0.2753559741785249,-0.41025179270251005
5302,0.0,-0.017358741283287637,-0.03575974855876648,-0.05667786050086228,-0.08303156484470775,-0.1237084048387163
5303,0.0,-0.04695655200259019,-0.09673250297335191,-0.15331738981366053,-0.22460591634260113,-0.33463947933594
5307,0.0,-0.15936106135334294,-0.3282905938312597,-0.5203282805620267,-0.7622671531040577,-1.1356988604010743
5308,0.0,-0.18281221944491827,-0.37660098126551433,-0.5968984330406308,-0.8744403989625469,-1.3028253421997529
5401,0.0,-4.07589759084657,-8.396523147693962,-13.308174325532093,-19.49612299600268,-29.047197663752456
5402,0.0,-0.36272915101152303,-0.7472375458233833,-1.184343489260969,-1.7350318512019964,-2.5850171926543486
5403,0.0,-3.901996977330986,-8.03828045532089,-12.740373091963392,-18.664309223793556,-27.8078815666113
5404,0.0,-1.9072091511274643,-3.9289323217783263,-6.227210397889954,-9.12269834084813,-13.591872701445991
5405,0.0,-1.2632764376291572,-2.602403425029741,-4.1247118404204395,-6.042593626807653,-9.002836692997883
5406,0.0,-2.980040042867423,-6.139009786993721,-9.730100303945218,-14.254339299209201,-21.237484564249897
5407,0.0,-2.480869995004649,-5.110698165296487,-8.100264944499344,-11.86667365449121,-17.680110826338293
5408,0.0,-0.8352958468207828,-1.7207451258721642,-2.7273164978060858,-3.9954464519030686,-5.952800096058181
5501,0.0,-0.18398492254942087,-0.3790167997552727,-0.6007274147554467,-0.8800497557860653,-1.3111827010681114
5503,0.0,-0.20522078245831746,-0.4227635783020815,-0.6700644182794914,-0.9816266299547163,-1.4625216899864657
5504,0.0,-0.10877637133662339,-0.22408397156524468,-0.35516469194357864,-0.5203068691912824,-0.7752031764626286
5506,0.0,-0.2548306267178618,-0.5249619766657259,-0.83204504731963,-1.2189239623677528,-1.8160700606597473
5507,0.0,-0.12662788709621825,-0.26085885659510366,-0.4134515056842369,-0.6056955079283647,-0.9024233765066741
5510,0.0,-0.05055648381982341,-0.1041485162955219,-0.16507149283414846,-0.24182536602740656,-0.3602946703068903
5513,0.0,-0.15396184080419223,-0.31716796886093196,-0.5026993370744725,-0.736441217696558,-1.0972208998964779
5601,0.0,-0.12268376691538428,-0.25273380054118527,-0.4005735965225189,-0.586829712004237,-0.8743153006905485
5602,0.0,-0.37346188355531057,-0.7693474333348609,-1.219386831861824,-1.7863694201896954,-2.6615048365960683
5603,0.0,-0.20011021809784774,-0.4122355974109936,-0.6533779633588082,-0.957181415341262,-1.4261008600114269
5604,0.0,-0.6936288118905654,-1.4289049823101478,-2.264760814055211,-3.3178146233504613,-4.943199075832093
5605,0.0,-0.467399858816432,-0.9628636751312313,-1.526102818389559,-2.235700218833704,-3.3309610421862925
5606,0.0,-1.148516739530447,-2.3659935447441933,-3.750011045367869,-5.493666883863681,-8.184992878179802
6201,0.0,-0.11169011244690541,-0.23008640271901393,-0.3646783202354633,-0.5342440827248464,-0.7959681765846714
6202,0.0,-0.111996604004871,-0.23071778842085547,-0.36567904289637365,-0.5357101149246625,-0.7981524122451775
6206,0.0,-0.18202873106680797,-0.3749869617382509,-0.5943402726144866,-0.8706927616764971,-1.2972417520140396
6207,0.0,-0.1053753492539661,-0.21707772079314938,-0.3440600471991589,-0.5040388586837281,-0.75096553101354
6208,0.0,-0.02325811716482689,-0.04791271487900307,-0.07593985639096444,-0.11124987877988496,-0.1657507607871769
6210,0.0,-0.020136601013046575,-0.04148225826419883,-0.06574782379398542,-0.09631882090301673,-0.14350503585164776
6301,0.0,-0.07519955603633198,-0.15491429774226118,-0.245533352747036,-0.3596998602275021,-0.5359154197885708
6302,0.0,-0.1353822082198067,-0.2788931320689605,-0.4420351560379753,-0.647569798822051,-0.9648117193001496
6401,0.0,-1.6017527863802148,-3.299679162187037,-5.2298677364774555,-7.6616177507964744,-11.415014425028463
6402,0.0,-0.2755822141271964,-0.5677111331767173,-0.899800857327011,-1.3181844299033607,-1.9639578443639454
6403,0.0,-0.3354326370458382,-0.691005561025988,-1.0952179020159754,-1.6044652258696452,-2.3904864864675077
6404,0.0,-3.84150011013803,-7.913654324652304,-12.542845348243707,-18.37493630963706,-27.37674598966797
6405,0.0,-4.345865001106267,-8.952667545055455,-14.189642340336226,-20.78745029705053,-30.97114117651279
6406,0.0,-1.1200808827875344,-2.3074144651562825,-3.6571654008942702,-5.357650473195869,-7.9823425580627125
6407,0.0,-1.3279733556553626,-2.7356818398288385,-4.335953130032569,-6.352056522571729,-9.46390425523574
6408,0.0,-0.14301080306142083,-0.2946083633141812,-0.46694320825181157,-0.6840594357679807,-1.019177487164063
6409,0.0,-0.14449219783218784,-0.2976600998228589,-0.47178009618014743,-0.6911453485056729,-1.0297347609339325
6501,0.0,-0.11774044487935999,-0.2425503459825631,-0.3844332029193048,-0.5631844627615633,-0.8390863360034947
6504,0.0,-1.2602004825351945,-2.5960668261402775,-4.114668568798529,-6.027880499820176,-8.980915662445051
6505,0.0,-0.4070557207673436,-0.8385521730231589,-1.3290737491399456,-1.947057849571321,-2.90091390123333
6506,0.0,-0.08998262644977001,-0.1853680542839315,-0.2938014148716751,-0.43041129313646626,-0.6412681080751076
6601,0.0,-0.11223288632234714,-0.23120454008815314,-0.366450526036204,-0.5368403172961942,-0.7998362963534515
6603,0.0,-0.49549783847096274,-1.020746713483944,-1.6178452636064131,-2.3701004718023104,-3.531203455246462
6604,0.0,-0.010761168781330483,-0.022168467375529875,-0.035136189488675196,-0.051473587219836726,-0.07669029697563744
6606,0.0,-5.965787208959791,-12.289776491622616,-19.47883488146626,-28.53597731578479,-42.515641381104636
6607,0.0,-1.287637216314665,-2.652587669743856,-4.204251986419326,-6.1591178345300595,-9.176445655919325
6610,0.0,-0.32671300501884226,-0.6730427465729295,-1.0667475147004657,-1.56275686232784,-2.3283453581888818
6612,0.0,-0.04207816015419802,-0.08668280737488163,-0.13738899914642264,-0.2012712457874471,-0.2998732446249118
