SB_CODE,critical_0_level,critical_10_level,critical_20_level,critical_30_level,critical_40_level,critical_50_level
801,0.0,-0.04683639588866667,-0.09367279177733334,-0.140509187666,-0.18734558355466668,-0.23418197944333335
802,0.0,-0.047147089925499985,-0.094294179851,-0.1414412697765,-0.188588359702,-0.2357354496275
803,0.0,-0.10688085149266668,-0.2137617029853333,-0.320642554478,-0.4275234059706666,-0.5344042574633333
804,0.0,-0.0605799537035,-0.121159907407,-0.1817398611105,-0.242319814814,-0.3028997685175
805,0.0,-0.11282929936283337,-0.22565859872566668,-0.3384878980885,-0.45131719745133336,-0.5641464968141666
806,0.0,-0.08512887252933338,-0.1702577450586667,-0.255386617588,-0.3405154901173334,-0.4256443626466667
807,0.0,-0.03888057295216665,-0.07776114590433333,-0.1166417188565,-0.15552229180866667,-0.19440286476083335
808,0.0,-0.025152022265166663,-0.05030404453033334,-0.0754560667955,-0.10060808906066668,-0.12576011132583334
809,0.0,-0.030888936378333343,-0.06177787275666667,-0.092666809135,-0.12355574551333334,-0.15444468189166666
810,0.0,-0.06810710661116665,-0.13621421322233335,-0.20432131983350005,-0.2724284264446667,-0.3405355330558334
811,0.0,-0.017761678642333342,-0.03552335728466667,-0.053285035927,-0.07104671456933334,-0.08880839321166667
812,0.0,-0.021335241964166668,-0.042670483928333336,-0.0640057258925,-0.08534096785666667,-0.10667620982083334
813,0.0,-0.057941208798666655,-0.11588241759733334,-0.173823626396,-0.23176483519466667,-0.28970604399333333
814,0.0,-0.080989486073,-0.161978972146,-0.24296845821899998,-0.323957944292,-0.4049474303649999
815,0.0,-0.005270240291333331,-0.010540480582666666,-0.015810720874,-0.021080961165333333,-0.026351201456666667
816,0.0,-0.0848550738336667,-0.16971014766733333,-0.25456522150099997,-0.33942029533466667,-0.4242753691683333
817,0.0,-0.0057320997458333335,-0.011464199491666667,-0.0171962992375,-0.022928398983333334,-0.028660498729166668
818,0.0,-0.013541717860166669,-0.02708343572033333,-0.0406251535805,-0.05416687144066666,-0.06770858930083333
819,0.0,-0.009851428914499999,-0.019702857828999998,-0.029554286743499997,-0.039405715657999996,-0.0492571445725
