Tambol_ID,critical_0_level,critical_10_level,critical_20_level,critical_30_level,critical_40_level,critical_50_level
500101,0.0,-0.022072923178343768,-0.045471164638790515,-0.07207009081660082,-0.10558077468205646,-0.15730438468769412
500102,0.0,-0.01662212386149779,-0.0342422852037148,-0.054272737986886845,-0.07950812404765122,-0.11845884412812706
500103,0.0,-0.0168518853716098,-0.03471560372929235,-0.055022930100823896,-0.08060713563002041,-0.12009625720119685
500104,0.0,-1.886622394458139,-3.886522723632847,-6.159992775158716,-9.024226303421258,-13.445159596687818
500105,0.0,-1.3357969733533643,-2.75179882648903,-4.361497949513596,-6.3894790067029525,-9.51965986848516
500106,0.0,-1.0325678829479001,-2.1271339471845323,-3.37142754029846,-4.939052073556416,-7.3586744339669306
500107,0.0,-0.019960753440513478,-0.041120004753081224,-0.06517366556310944,-0.09547769429808117,-0.14225184460132514
500108,0.0,-0.04916234412787097,-0.10127652897648666,-0.16051950063093093,-0.23515681798317842,-0.35035922656709445
500109,0.0,-0.028556032420866087,-0.05882664661805215,-0.09323802893278767,-0.13659124351046592,-0.20350676132889245
500110,0.0,-1.1135190891560256,-2.293896889974539,-3.635740551130528,-5.326263635606627,-7.935579431071683
500111,0.0,-0.5151879770215153,-1.0613092400038209,-1.6821353470749254,-2.4642837417284262,-3.671526742021138
500112,0.0,-0.018844674514569223,-0.038820834489974115,-0.061529566913311476,-0.0901391862692432,-0.13429802229650178
500113,0.0,-0.08283775773651887,-0.17064931952651896,-0.2704727722231151,-0.3962354493820349,-0.5903496516689789
500114,0.0,-1.2537692830036997,-2.582818280383165,-4.0936701205844175,-5.997118329210336,-8.935083224351935
500115,0.0,-1.4560738539376732,-2.9995743383729807,-4.754212844446647,-6.964795928971395,-10.376822308620541
500116,0.0,-0.8412390757803341,-1.732988431406382,-2.7467216779626926,-4.0238745269972584,-5.995154974339891
500203,0.0,-1.0990744762959443,-2.2641403704507113,-3.588577583533284,-5.257171136918187,-7.832638786570354
500204,0.0,-4.769870853431351,-9.82613771314813,-15.57405980226172,-22.815585220390897,-33.992851493949026
500205,0.0,-8.424517511451816,-17.354865944599503,-27.506811727232854,-40.296750819769485,-60.03797198595917
500206,0.0,-9.366505617317388,-19.295401681688485,-30.582488101828183,-44.802535266849354,-66.75112267194044
500207,0.0,-0.3721857634503984,-0.7667185714065837,-1.2152201842859311,-1.780265391820849,-2.6524104685203547
500209,0.0,-12.273736914863404,-25.284422343141205,-40.07486126627496,-58.708610601537316,-87.46973011284203
500301,0.0,-2.3111970292298083,-4.761164607862225,-7.546267363222375,-11.055081867378673,-16.470923385975432
500302,0.0,-2.628689317307613,-5.415212283654274,-8.5829084030366,-12.573733541196011,-18.73355659570668
500303,0.0,-2.4178335887401663,-4.980840475658794,-7.894445375993315,-11.565153436584287,-17.23087702888247
500304,0.0,-0.8830544858003648,-1.8191299622809536,-2.8832527741536027,-4.223888967671534,-6.293155709925205
500305,0.0,-1.1301230728651794,-2.328101805689531,-3.6899540598791174,-5.4056849903885205,-8.053908998008948
500307,0.0,-0.3540925493659821,-0.7294457775029397,-1.1561442036515475,-1.6937206444810315,-2.5234677867751367
500308,0.0,-2.8999827392089714,-5.974088321640972,-9.468705965797128,-13.871403515356661,-20.6669500324166
500401,0.0,-1.5745554921707023,-3.2436515743257375,-5.141066110711436,-7.531525720452553,-11.221190816065105
500402,0.0,-0.4821793205351116,-0.9933099976075463,-1.5743590977993822,-2.30639439037746,-3.436288012832084
500403,0.0,-1.1992878992366536,-2.4705843025359973,-3.915783474389887,-5.736519102846031,-8.546817452702003
500404,0.0,-1.8575467064557483,-3.826625564318671,-6.065058023746025,-8.885149406405729,-13.237949469889802
500405,0.0,-1.7497316645633723,-3.604521972473788,-5.713032159396409,-8.3694408365257,-12.469597281648701
500406,0.0,-0.5801798641717079,-1.1951953037985594,-1.8943397375587467,-2.7751575547673113,-4.134696424407547
500407,0.0,-1.0319063039046947,-2.1257710660947873,-3.3692674248782715,-4.935887561664146,-7.353959640032623
500501,0.0,-0.030560769551911622,-0.06295649074457478,-0.09978367700714956,-0.14618044461534438,-0.21779367468022837
500502,0.0,-0.06332457658819036,-0.13045133281433188,-0.20676047067981126,-0.3028986146770989,-0.45128746543127696
500503,0.0,-0.5653539597282558,-1.1646533073253142,-1.8459318184514952,-2.704241235082133,-4.029038476111694
500504,0.0,-0.05058044230675277,-0.1041978718020336,-0.16514971946117363,-0.2419399659646135,-0.36046541230667073
500505,0.0,-0.029864929744348623,-0.06152303101673207,-0.09751169709222492,-0.1428520542003768,-0.21283471877368612
500506,0.0,-0.021316021685146548,-0.04391191523016281,-0.06959873897465427,-0.10196030967322728,-0.15191026798214594
500507,0.0,-0.021783238493710336,-0.04487440181395422,-0.07112424411741086,-0.1041951343130847,-0.15523992450262813
500508,0.0,-0.021182752934501944,-0.043637375910979555,-0.0691636044487753,-0.10132284911486444,-0.15096051798080423
500509,0.0,-0.11380596433366998,-0.23444514798881855,-0.3715867680382994,-0.5443647758252632,-0.8110469577886193
500510,0.0,-0.05571759841277726,-0.11478063282488672,-0.18192299883648927,-0.26651237610505507,-0.3970757504016112
500511,0.0,-0.04764907406877324,-0.09815912801222759,-0.15557853700286833,-0.22791843710123635,-0.3395747911033662
