Amphoe_ID,no_positive_data,critical_25_level,critical_50_level,critical_80_level,critical_90_level
5202,False,0.0063839221250972,0.07814569911357187,0.5382408969945178,1.0599841806288042
5205,False,0.08269685547016115,0.5116940351110507,9.446794326261687,64.78102691695645
5206,False,1.5150131878622644e-05,4.311000204530889e-05,0.0001562089333801333,0.000335942990698201
5207,True,,,,
5208,False,0.098617945204017,0.42070572775880516,2.5710697549909796,6.6227869026659345
5210,False,0.0004901321754222464,0.0016998663543921811,0.0051562937155404205,0.008055405749015171
5211,False,1.2046093153021537e-06,3.006055983156818e-06,1.0332249797426869e-05,2.2031770231327086e-05
5301,False,1.8440671915559548e-05,5.239218332102858e-05,0.00019013996020551886,0.0004096418900191803
5302,False,8.172853284818541e-06,2.007213457862947e-05,6.884514908803415e-05,0.00014728808322587926
5303,False,8.248506305031171e-06,2.3398136372599806e-05,8.479730883137938e-05,0.00018254224468915777
5307,False,0.0035997571136984104,0.025277003463235987,0.2876868416568967,1.025679161348264
5308,False,5.259693352929355e-05,0.0016835410730846514,0.4896034431880387,20.94137351127575
5401,False,3.7284123836672713,15.157504432497834,51.62663149855328,83.62008643716798
5402,False,0.1751577110976529,0.9802849997482741,4.1121624278364575,7.078382078180914
5403,False,5.512794261095553,17.826432206975067,77.09985642256855,165.76634465771417
5404,False,2.0176121048800795,6.967247795272929,21.129392041553476,33.0150511577626
5405,False,3.1100087671695618,10.6200172593731,31.936155782771117,49.766216407078026
5406,False,4.804990806989631,19.32919463108651,65.02228426029222,104.88150431784378
5407,False,2.2253572514168463,7.81673919513389,23.92497148325429,37.48230441382675
5408,False,1.2997685149366567,5.96593427800093,22.09372570913517,36.69378141092503
5501,False,0.0036462207521619837,0.057057288556525115,0.4648906895894691,0.9561572312517674
5503,False,0.005209959313128301,0.0766986041121291,0.5931361830991426,1.203487094109647
5504,False,7.4552002397563885e-06,2.0926915080104677e-05,7.558528465937798e-05,0.0001626852443307055
5506,False,1.192162630875927e-05,0.003095567062483927,0.14849779672697042,0.465012417969456
5507,False,5.6626480768052955e-05,0.00032357741041796857,0.0013727259080527426,0.0023702310922852888
5510,False,2.431545878218325e-06,6.57500288374264e-06,2.3334244455176662e-05,4.9965849722326546e-05
5513,False,0.002400384893004502,0.04629312870238198,0.4238931777372828,0.8976335536869474
5601,False,7.292258130074664e-05,0.00020052080403152933,0.0007136383555095991,0.00152473376112524
5602,False,2.2111035136945456e-05,5.924169736638599e-05,0.00021048258256155998,0.00045234882444606165
5603,False,0.0001169397224029738,0.0006890601358455729,0.012348851178989774,0.08335938568984133
5604,False,0.4607635458476477,3.1648311845957493,15.113566350574153,26.979080273741737
5605,False,0.01073761953443496,0.10342870294172753,0.6125944637739751,1.1594567091159338
5606,False,0.13939854896481693,1.023797288226786,26.314307708680843,225.59660455336484
6201,False,0.19380180345739287,0.40896761044298935,0.853819393568216,1.1761146661404638
6202,False,0.004924881263872958,0.021920114044256683,0.1412434212179916,0.3740351547931768
6206,False,2.50222461768369,4.084684276552422,7.393020427346082,10.20226630523068
6207,False,0.00010050227507077485,0.002868039025331718,0.1586051075814366,0.5166258363548232
6208,False,-0.09558650364955766,0.0,0.11927183636382253,0.1816173386792215
6210,False,0.0013976138462037746,0.004630958709460043,0.020647880046921283,0.04510515665980832
6301,False,7.526933341113872e-06,0.0021863371411960327,0.13085501550408854,0.4310601150800529
6302,False,1.9301285355777307e-05,5.3653801786081074e-05,0.00019286920094832143,0.0004144796287771819
6401,False,6.399843056551981,13.89237459412425,36.54192056546445,60.581579419427534
6402,False,2.320485925543995e-05,0.004684721141897303,0.19208593889635275,0.5802751424584556
6403,False,2.912430425468024,4.663563248034919,9.263546834105668,14.147120954414978
6404,False,13.541976722162175,27.646578256084318,67.36051216273792,107.29358906519856
6405,False,6.171894461991333,19.722965697852764,56.45902130621639,86.5991105299053
6406,False,2.3611507008853057,5.972678736187801,19.01450555807982,34.831171332938034
6407,False,2.8180392873984115,7.76798608341188,27.528767490255166,53.33457352923363
6408,False,0.007965626472083598,0.04151297773560629,0.32568966683289663,0.955955673444802
6409,False,0.18503477452227077,0.930214091540582,3.6254673812534017,6.108547772000446
6501,False,1.0276153566219193,1.0997618001758296,1.3425481267527217,1.5600577934506692
6504,False,35.19056351131257,68.06632888908337,155.03567398528781,238.39814272082634
6505,False,0.004260434367030529,0.00872320940367978,0.021331253000691677,0.034041493207092835
6506,False,3.728646158865057,4.487080723109149,5.653299833283942,6.378969738537309
6601,False,3.5543719557953444,6.729456822559352,14.924117042951838,22.630868413113095
6603,False,18.319676354569,34.568742245634894,76.34511035509047,115.51733616647344
6604,False,0.0014406035516112213,0.004601071075932158,0.03145794174674552,0.11276636316388818
6606,False,16.226650568388674,30.491046285182403,66.98785652801855,101.08190424246669
6607,False,15.544102063902958,29.494132505031082,65.58933372864438,99.60182158197581
6610,False,12.326568701674972,23.178398866122905,50.965790373408055,76.93967135656614
6612,False,-0.8594828764641244,0.0,1.0724537155890723,1.633044276167525
