Tambol_ID,no_positive_data,critical_25_level,critical_50_level,critical_80_level,critical_90_level
520201,False,6.188036112970909e-06,1.652736786174814e-05,5.846177546882633e-05,0.0001252639275048382
520202,False,2.5770866403656274e-06,6.82552817423683e-06,2.405150485519609e-05,5.148564895750321e-05
520203,False,0.006355534252437109,0.07795863198741237,0.537647427913035,1.0591714414741857
520205,False,1.0385255254202196e-05,2.7892153948371964e-05,9.897652446041024e-05,0.00021233026582542013
520501,False,0.02651499144005823,0.06388577293890275,0.14833817105043312,0.2122239439893359
520502,False,0.02429864987591867,0.16553022427121772,0.7864286534236304,1.4018494905449048
520503,False,0.014425473405798937,0.12162453278755042,0.6624379893037454,1.225922288201703
520504,False,0.035599204170766195,0.20599017919378249,0.8804275673309264,1.5233812110018075
520505,False,0.009042733948821682,0.09565234881082918,0.601076219253034,1.1556448216880568
520506,False,0.005091356206470551,0.07014033115134741,0.5203876361132301,1.0447159526825316
520507,False,0.006752497741813061,0.08164852649721561,0.5580880808992936,1.096891061301125
520508,False,0.00047315012435155974,0.020227823661581656,0.305121602352017,0.7299122513276297
520509,False,0.03266599228488606,0.19589921957638826,0.8575508095134317,1.493951129934111
520510,False,0.1069435967447113,0.6674776519014199,2.9966497379679433,5.25771974301847
520601,True,,,,
520603,False,9.7506839842261e-06,2.5645030646729623e-05,8.945857865387403e-05,0.00019018191378064071
520605,False,6.999792367313826e-06,1.882060753025603e-05,6.623675279047184e-05,0.00014101715118845106
520606,False,5.607464071151755e-06,1.4992197787805412e-05,5.2635458502866235e-05,0.00011200127742654619
520705,True,,,,
520801,False,5.007420750024371e-05,0.00013756936012315055,0.0004920387657147795,0.0010561439498058016
520802,False,0.0005841398536487363,0.0019544110890973273,0.011650990521864482,0.036820669034343154
520803,False,0.0002422878994105164,0.0006738749853228971,0.002418859710913383,0.005190786727286594
520804,False,0.014427521081865412,0.06177879345115621,0.3793174312377429,0.9794669015388698
520805,False,0.09848820896022674,0.37065216542067103,2.6513400177604103,9.476145512829753
