SB_CODE,critical_0_level,critical_10_level,critical_20_level,critical_30_level,critical_40_level,critical_50_level
801,0.0,-0.26018809278300004,-0.5203761855660001,-0.7805642783490001,-1.0407523711320001,-1.300940463915
802,0.0,-0.3119947514615,-0.623989502923,-0.9359842543845001,-1.247979005846,-1.5599737573074999
803,0.0,-0.6495578757036666,-1.2991157514073333,-1.948673627111,-2.5982315028146665,-3.247789378518333
804,0.0,-0.3321064130653333,-0.6642128261306666,-0.9963192391959999,-1.3284256522613331,-1.6605320653266666
805,0.0,-0.6802132758571666,-1.3604265517143332,-2.0406398275715,-2.7208531034286665,-3.401066379285833
806,0.0,-0.47478373672500007,-0.9495674734499999,-1.424351210175,-1.8991349468999998,-2.373918683625
807,0.0,-0.23125490091016654,-0.4625098018203333,-0.6937647027305,-0.9250196036406666,-1.1562745045508334
808,0.0,-0.14692564976150002,-0.29385129952300004,-0.44077694928450006,-0.5877025990460001,-0.7346282488075
809,0.0,-0.18524828342900002,-0.37049656685800003,-0.555744850287,-0.7409931337160001,-0.9262414171450001
810,0.0,-0.35872412352799987,-0.717448247056,-1.076172370584,-1.434896494112,-1.79362061764
811,0.0,-0.08961095496116667,-0.17922190992233333,-0.2688328648835,-0.35844381984466667,-0.44805477480583333
812,0.0,-0.11193469606249995,-0.223869392125,-0.3358040881875,-0.44773878425,-0.5596734803125001
813,0.0,-0.3228204120841667,-0.6456408241683333,-0.9684612362525,-1.2912816483366667,-1.6141020604208334
814,0.0,-0.44941927312033325,-0.8988385462406665,-1.3482578193609998,-1.797677092481333,-2.2470963656016663
815,0.0,0.0,0.0,0.0,0.0,0.0
816,0.0,-0.5118738987616669,-1.0237477975233333,-1.535621696285,-2.0474955950466667,-2.559369493808333
817,0.0,-0.011217534060166678,-0.022435068120333364,-0.03365260218050005,-0.04487013624066673,-0.05608767030083341
818,0.0,-0.03584814669449998,-0.07169629338899997,-0.10754444008349995,-0.14339258677799993,-0.1792407334724999
819,0.0,-0.0350071494011667,-0.07001429880233337,-0.10502144820350005,-0.14002859760466674,-0.1750357470058334
