Province_ID,critical_0_level,critical_10_level,critical_20_level,critical_30_level,critical_40_level,critical_50_level
52,0.0,-7.216813116666664,-14.433626233333332,-21.65043935,-28.867252466666663,-36.084065583333334
53,0.0,-2.458240049999999,-4.916480099999999,-7.37472015,-9.832960199999999,-12.29120025
54,0.0,-5.892335449999997,-11.784670899999998,-17.67700635,-23.569341799999997,-29.461677249999997
55,0.0,-1.5883171666666671,-3.1766343333333333,-4.7649515,-6.353268666666667,-7.941585833333333
56,0.0,-5.200432500000002,-10.400865,-15.6012975,-20.80173,-26.002162499999997
62,0.0,-8.618120016666666,-17.23624003333333,-25.854360049999997,-34.47248006666666,-43.090600083333335
63,0.0,-1.0114654833333327,-2.0229309666666664,-3.03439645,-4.045861933333333,-5.057327416666666
64,0.0,0.0,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0,0.0,0.0
