Amphoe_ID,critical_0_level,critical_10_level,critical_20_level,critical_30_level,critical_40_level,critical_50_level
5202,0.0,-0.978706316666667,-1.9574126333333335,-2.93611895,-3.914825266666667,-4.893531583333333
5205,0.0,-4.653271033333333,-9.306542066666665,-13.959813099999998,-18.61308413333333,-23.266355166666667
5206,0.0,-0.0007753,-0.0015506,-0.0023259,-0.0031012,-0.0038765
5207,0.0,0.0,0.0,0.0,0.0,0.0
5208,0.0,-3.0847807000000014,-6.169561400000001,-9.2543421,-12.339122800000002,-15.423903500000002
5210,0.0,-0.0006047166666666667,-0.0012094333333333334,-0.00181415,-0.0024188666666666667,-0.0030235833333333334
5211,0.0,-2.8633333333333343e-05,-5.726666666666667e-05,-8.59e-05,-0.00011453333333333334,-0.00014316666666666666
5301,0.0,-0.0007588,-0.0015176,-0.0022764,-0.0030352,-0.003794
5302,0.0,-0.0005897499999999666,-0.0011794999999999332,-0.0017692499999998998,-0.0023589999999998664,-0.0029487499999998334
5303,0.0,-0.00035264999999993336,-0.0007052999999998667,-0.0010579499999998,-0.0014105999999997334,-0.0017632499999996668
5307,0.0,-2.412678916666666,-4.825357833333333,-7.23803675,-9.650715666666667,-12.063394583333334
5308,0.0,-0.05209553333333328,-0.10419106666666658,-0.1562865999999999,-0.20838213333333316,-0.2604776666666665
5401,0.0,-0.956295616666667,-1.9125912333333335,-2.86888685,-3.825182466666667,-4.781478083333333
5402,0.0,-1.84445485,-3.6889097,-5.53336455,-7.3778194,-9.22227425
5403,0.0,-1.2072332333333335,-2.414466466666667,-3.6216997000000006,-4.828932933333334,-6.036166166666667
5404,0.0,-0.5711518666666664,-1.1423037333333332,-1.7134556,-2.2846074666666665,-2.8557593333333333
5405,0.0,-0.6368934999999998,-1.273787,-1.9106805,-2.547574,-3.1844675000000002
5406,0.0,-1.9300289166666662,-3.8600578333333333,-5.79008675,-7.720115666666667,-9.650144583333335
5407,0.0,-1.4031193333333327,-2.8062386666666663,-4.209358,-5.612477333333333,-7.015596666666666
5408,0.0,-0.17907378333333335,-0.3581475666666667,-0.53722135,-0.7162951333333334,-0.8953689166666667
5501,0.0,-0.13066,-0.26132,-0.39198,-0.52264,-0.6532999999999999
5503,0.0,-1.2923773,-2.5847546,-3.8771319,-5.1695092,-6.4618865
5504,0.0,-0.00016955000000000008,-0.00033910000000000006,-0.00050865,-0.0006782000000000001,-0.0008477500000000001
5506,0.0,-0.2507421999999999,-0.5014843999999998,-0.7522265999999997,-1.0029687999999997,-1.2537109999999996
5507,0.0,-0.0014711333333333161,-0.002942266666666633,-0.00441339999999995,-0.005884533333333266,-0.007355666666666583
5510,0.0,-6.813333333333333e-05,-0.00013626666666666665,-0.00020439999999999998,-0.0002725333333333333,-0.0003406666666666667
5513,0.0,-0.12996278333333333,-0.25992556666666666,-0.38988835,-0.5198511333333333,-0.6498139166666665
5601,0.0,-0.0018218833333333174,-0.003643766666666634,-0.00546564999999995,-0.007287533333333268,-0.009109416666666583
5602,0.0,-0.0013055999999999667,-0.0026111999999999334,-0.0039167999999999,-0.005222399999999867,-0.006527999999999833
5603,0.0,-0.006512033333333313,-0.013024066666666632,-0.01953609999999995,-0.026048133333333265,-0.032560166666666585
5604,0.0,-1.4448875500000007,-2.8897751000000005,-4.33466265,-5.779550200000001,-7.224437750000001
5605,0.0,-0.521247283333333,-1.0424945666666665,-1.56374185,-2.084989133333333,-2.6062364166666665
5606,0.0,-3.9447718000000016,-7.8895436,-11.8343154,-15.7790872,-19.723858999999997
6201,0.0,-0.9438400333333332,-1.8876800666666669,-2.8315201,-3.7753601333333338,-4.719200166666667
6202,0.0,-2.5612325166666654,-5.122465033333333,-7.68369755,-10.244930066666665,-12.806162583333332
6206,0.0,-1.6192711833333338,-3.2385423666666666,-4.85781355,-6.477084733333333,-8.096355916666667
6207,0.0,-3.9591994833333324,-7.9183989666666665,-11.87759845,-15.836797933333333,-19.79599741666667
6208,0.0,-0.39885003333333335,-0.7977000666666667,-1.1965501,-1.5954001333333334,-1.9942501666666668
6210,0.0,-0.6353089999999999,-1.2706179999999998,-1.9059269999999997,-2.5412359999999996,-3.176545
6301,0.0,-1.0112695833333332,-2.0225391666666663,-3.0338087499999995,-4.045078333333333,-5.056347916666667
6302,0.0,-0.0005387833333332834,-0.0010775666666665669,-0.0016163499999998503,-0.0021551333333331337,-0.0026939166666664167
6401,0.0,0.0,0.0,0.0,0.0,0.0
6402,0.0,-3.910864616666668,-7.821729233333334,-11.73259385,-15.643458466666669,-19.554323083333333
6403,0.0,-1.0557224500000002,-2.1114449000000004,-3.1671673500000006,-4.222889800000001,-5.27861225
6404,0.0,0.0,0.0,0.0,0.0,0.0
6405,0.0,-3.1431107999999988,-6.286221599999999,-9.4293324,-12.572443199999999,-15.715554
6406,0.0,-0.5377663166666666,-1.0755326333333333,-1.61329895,-2.1510652666666665,-2.688831583333333
6407,0.0,-1.0165951166666671,-2.0331902333333334,-3.04978535,-4.066380466666667,-5.082975583333333
6408,0.0,-2.8515261333333335,-5.703052266666667,-8.5545784,-11.406104533333334,-14.257630666666667
6409,0.0,-1.44766335,-2.8953267,-4.34299005,-5.7906534,-7.23831675
6501,0.0,-0.24454921666666674,-0.48909843333333336,-0.73364765,-0.9781968666666667,-1.2227460833333332
6504,0.0,0.0,0.0,0.0,0.0,0.0
6505,0.0,-2.0162862666666665,-4.032572533333333,-6.0488588,-8.065145066666666,-10.081431333333333
6506,0.0,0.0,0.0,0.0,0.0,0.0
6601,0.0,0.0,0.0,0.0,0.0,0.0
6603,0.0,0.0,0.0,0.0,0.0,0.0
6604,0.0,-0.3316304333333333,-0.6632608666666666,-0.9948912999999999,-1.3265217333333332,-1.6581521666666668
6606,0.0,0.0,0.0,0.0,0.0,0.0
6607,0.0,0.0,0.0,0.0,0.0,0.0
6610,0.0,0.0,0.0,0.0,0.0,0.0
6612,0.0,-1.6222526333333338,-3.2445052666666667,-4.8667579,-6.489010533333333,-8.111263166666665
