Province_ID,no_positive_data,critical_25_level,critical_50_level,critical_80_level,critical_90_level
52,False,7.822401069838847,29.527107192559964,97.82595355781156,157.41029828965253
53,False,0.5055002889655713,2.3274637683502504,8.556725750852685,14.172129103930788
54,False,85.78108842482983,324.0348426866369,1055.5961864249762,1687.556216959712
55,False,1.2047514304389269,9.548048131491845,49.977968885101326,91.49649818964913
56,False,6.063102543468867,32.0257896716481,129.19313083943348,219.8862317075384
62,False,4.501955993253614,7.5584787933112345,14.833037198665902,21.851675154343766
63,False,-6.173321885850709,0.0,7.70300627889738,11.729504154989426
64,False,117.55348861452114,260.8404062242348,705.1538994160692,1185.9064260508055
65,False,29.12931474470939,42.308923551955886,89.50237544214787,156.58451790267048
66,False,117.817417301234,220.81173413885955,483.54278898727597,728.4079784412602
