Tambol_ID,no_positive_data,critical_25_level,critical_50_level,critical_80_level,critical_90_level
500101,False,0.0019053971777829456,0.003837455269600788,0.010833296148647543,0.02088007179422166
500102,False,9.70000004310182e-06,9.878037157022189e-06,0.005485454750635632,0.07688837538885009
500103,False,2.490000007247681e-05,2.5130340154714852e-05,0.005957799082940956,0.07985797903084652
500104,False,0.18467319364651705,0.520736976612009,1.898416144290638,3.732846406824217
500105,False,0.1305022774779788,0.36824052179065253,1.3436234621339271,2.6431466196187423
500106,False,0.10097424400932017,0.28542459478634696,1.043745988145423,2.0556016515438746
500107,False,0.000376364899984049,0.0017237847224617128,0.011511039983117071,0.031057327230145423
500108,False,0.004231921911912728,0.06235730112216589,0.4824748398318133,0.9790783920646146
500109,False,4.712236565761121e-05,0.006040192531452419,0.18315415733259857,0.5161548172034246
500110,False,0.11012465323385802,0.3102665749873875,1.1299354856426063,2.2205719823003673
500111,False,0.051198345928454445,0.14475649856632605,0.5295024417373462,1.0429853655876182
500112,False,0.0006045368668579475,0.0017470324474344395,0.009593180502476584,0.02944737127969766
500113,False,0.011451494684859998,0.025033420201695057,0.06870613090973372,0.12487811863387564
500114,False,0.12072078810612716,0.3437809862316866,1.268825575154934,2.510993763603278
500115,False,0.14202338691515826,0.4009001828160812,1.4634757280264972,2.87962179436709
500116,False,0.07817408089348965,0.22613222241234912,0.8510740244335158,1.7015558495293717
500203,False,0.04593057502776926,0.15340788945557998,0.6908316475745795,1.5169842668317537
500204,False,0.5583527246554678,1.528229272123293,5.36811428495213,10.35223008081431
500205,False,0.9682060185899665,2.6461968134550418,9.278438133936108,17.87635847847016
500206,False,1.1701433498126614,3.0955300183000953,10.42127928217648,19.65579012640671
500207,False,0.03193869394410284,0.09890532993092441,0.405287061096279,0.8471295700468273
500209,False,1.4980019750147064,3.990005780069727,13.547509679510302,25.666281939202385
500301,False,0.28460424532389345,0.7450340042765692,2.4755440282587506,4.637299032081333
500302,False,0.33911300524991056,0.8774781663211385,2.873680404793261,5.342490496678505
500303,False,0.3180824233116275,0.8071619955117858,2.5798415219078152,4.7355811746398615
500304,False,0.08174482965743533,0.22355602021029386,0.784473258231358,1.5120269932624972
500305,False,0.12722815148791827,0.4238548328978367,1.3333309203968027,2.118522755685854
500307,False,0.04496199084705635,0.11860445218193116,0.3978681127606279,0.7490305044572374
500308,False,0.3594611759669239,1.1270741623172214,3.432938025054439,5.407240588272611
500401,False,0.12856619598900149,0.4153764433555321,1.1974502393506552,1.8406938679278042
500402,False,0.0033092220642594638,0.02712561395123702,0.831559412453552,8.01065819581747
500403,False,0.08887303358527145,0.3398835954630806,1.1020234198820738,1.7574198530262173
500404,False,0.0950142747857897,0.41091513184880063,1.44854425470271,2.3693397407481696
500405,False,0.13531219057670507,0.4460167403757289,2.5226855053483295,7.657344223531284
500406,False,0.049802481303624614,0.22350132685962093,0.8079121931492257,1.3314381139027744
500407,False,0.027679424996710923,0.1402554721335079,1.8017839601818577,9.670010058315553
500501,False,-0.03518886699749468,0.0,0.043908299039170096,0.0668599449839972
500502,False,0.01905682424483985,0.04591590947312567,0.10661344020795528,0.15252934968108095
500503,False,0.053745731570068754,0.2316762208780287,0.8148936828994643,1.3320144430004701
500504,False,0.004015954648284146,0.06013200349795186,0.47043133028910217,0.9573588882713973
500505,False,0.0032118383520641056,0.05205916458851185,0.4342890668704525,0.8985915978007672
500506,False,-0.02789495897375978,0.0,0.03480703713456953,0.053001292211233245
500507,False,6.495079158332434e-05,0.006935487809902467,0.19265624227012065,0.532073571459872
500508,False,0.0020580268046340713,0.004941548782514986,0.015369301412423594,0.03032713782107123
500509,False,-0.10286151341110142,0.0,0.12834951721514085,0.19544008416430597
500510,False,-0.05977465506710891,0.0,0.07458618743924673,0.11357370925039584
500511,False,-0.054631768690385316,0.0,0.06816894777734654,0.10380206470636522
500512,False,0.0016927641763057402,0.00705542883120761,0.06472940759414997,0.27666608972837226
500513,False,0.009776467427481282,0.0615931002993927,0.27877461770472445,0.49028298212103444
500514,False,0.08456038654686536,0.3373509998340005,1.125915222479218,1.8114658215068826
500601,False,0.08150211012919982,0.35893874770173456,2.282503633688103,6.002860615072603
500602,False,0.143551435811287,0.4037737789042609,1.7037945658415898,4.199822479295948
500603,False,0.06485415184273294,0.20727186127095004,0.8834421813861203,1.8849548766960709
