month,day,release
1,1,0.116
1,2,0.116
1,3,0.231
1,4,0.347
1,5,0.347
1,6,0.116
1,7,0.116
1,8,0.116
1,9,0.116
1,10,0.116
1,11,0.116
1,12,0.347
1,13,0.116
1,14,0.116
1,15,0.035
1,16,0.116
1,17,0.116
1,18,0.116
1,19,0.116
1,20,0.116
1,21,0.116
1,22,0.116
1,23,0.116
1,24,0.116
1,25,0.116
1,26,0.579
1,27,0.567
1,28,0.567
1,29,0.567
1,30,0.567
1,31,0.567
2,1,0.567
2,2,0.567
2,3,0.567
2,4,0.567
2,5,0.567
2,6,1.262
2,7,1.25
2,8,1.25
2,9,1.25
2,10,1.308
2,11,0.544
2,12,0.544
2,13,0.544
2,14,0.544
2,15,1.308
2,16,1.308
2,17,1.389
2,18,1.389
2,19,1.308
2,20,1.308
2,21,1.042
2,22,1.308
2,23,1.308
2,24,1.308
2,25,1.308
2,26,1.308
2,27,1.157
2,28,0.509
2,29,0.654
3,1,0.509
3,2,0.498
3,3,0.498
3,4,0.509
3,5,0.509
3,6,0.509
3,7,0.359
3,8,0.359
3,9,0.359
3,10,0.359
3,11,0.359
3,12,0.359
3,13,1.308
3,14,1.308
3,15,1.308
3,16,1.308
3,17,0.324
3,18,0.324
3,19,0.324
3,20,0.324
3,21,0.579
3,22,0.579
3,23,0.579
3,24,0.347
3,25,0.347
3,26,0.347
3,27,0.347
3,28,0.347
3,29,0.347
3,30,0.347
3,31,0.521
4,1,0.521
4,2,0.347
4,3,0.336
4,4,0.336
4,5,0.162
4,6,0.162
4,7,0.162
4,8,0.162
4,9,0.162
4,10,0.185
4,11,0.185
4,12,0.521
4,13,0.521
4,14,0.579
4,15,0.579
4,16,0.394
4,17,0.694
4,18,0.521
4,19,0.023
4,20,0.023
4,21,0.197
4,22,0.498
4,23,0.498
4,24,0.498
4,25,0.521
4,26,0.521
4,27,0.521
4,28,0.521
4,29,0.521
4,30,0.521
5,1,0.382
5,2,0.185
5,3,0.521
5,4,0.116
5,5,0.116
5,6,0.116
5,7,0.521
5,8,0.521
5,9,0.521
5,10,0.521
5,11,0.521
5,12,0.521
5,13,0.521
5,14,0.521
5,15,0.521
5,16,0.498
5,17,0.498
5,18,0.498
5,19,0.521
5,20,0.521
5,21,0.521
5,22,0.521
5,23,0.521
5,24,0.521
5,25,0.498
5,26,0.498
5,27,0.498
5,28,0.498
5,29,0.498
5,30,0.498
5,31,0.324
6,1,0.324
6,2,0.324
6,3,0.324
6,4,0.324
6,5,0.324
6,6,0.324
6,7,0.324
6,8,0.324
6,9,0.324
6,10,0.324
6,11,0.324
6,12,0.324
6,13,0.324
6,14,0.324
6,15,0.324
6,16,1.042
6,17,1.157
6,18,1.157
6,19,0.556
6,20,0.556
6,21,0.556
6,22,0.475
6,23,0.475
6,24,0.475
6,25,0.475
6,26,0.475
6,27,0.289
6,28,0.347
6,29,0.347
6,30,0.347
7,1,0.347
7,2,0.347
7,3,0.347
7,4,0.347
7,5,0.347
7,6,0.382
7,7,0.347
7,8,0.347
7,9,0.347
7,10,1.146
7,11,1.146
7,12,1.146
7,13,1.146
7,14,0.66
7,15,0.66
7,16,0.66
7,17,0.66
7,18,0.66
7,19,0.66
7,20,0.66
7,21,0.463
7,22,0.463
7,23,0.822
7,24,0.822
7,25,0.822
7,26,0.972
7,27,0.972
7,28,0.972
7,29,1.042
7,30,1.042
7,31,1.042
8,1,1.748
8,2,1.748
8,3,1.748
8,4,1.03
8,5,1.03
8,6,1.713
8,7,1.713
8,8,1.713
8,9,1.238
8,10,1.238
8,11,1.238
8,12,1.238
8,13,1.238
8,14,1.238
8,15,1.273
8,16,1.273
8,17,0.66
8,18,0.66
8,19,0.66
8,20,0.66
8,21,0.66
8,22,0.81
8,23,1.921
8,24,2.685
8,25,1.806
8,26,1.806
8,27,1.806
8,28,0.66
8,29,4.745
8,30,4.745
8,31,4.745
9,1,4.745
9,2,4.745
9,3,3.692
9,4,3.692
9,5,3.692
9,6,3.692
9,7,3.692
9,8,0.903
9,9,0.903
9,10,1.817
9,11,1.273
9,12,1.273
9,13,1.806
9,14,1.806
9,15,0.961
9,16,0.961
9,17,0.961
9,18,0.961
9,19,3.762
9,20,2.766
9,21,2.766
9,22,2.766
9,23,1.863
9,24,0.231
9,25,1.863
9,26,1.863
9,27,1.863
9,28,1.863
9,29,1.863
9,30,1.863
10,1,1.921
10,2,0.174
10,3,0.347
10,4,0.579
10,5,0.579
10,6,0.579
10,7,1.157
10,8,1.157
10,9,1.157
10,10,1.273
10,11,1.273
10,12,1.157
10,13,1.157
10,14,1.157
10,15,1.157
10,16,1.157
10,17,1.042
10,18,0.926
10,19,0.81
10,20,0.81
10,21,0.81
10,22,1.042
10,23,1.042
10,24,1.042
10,25,1.042
10,26,1.042
10,27,1.042
10,28,1.042
10,29,1.042
10,30,1.042
10,31,1.042
11,1,1.042
11,2,1.042
11,3,0.961
11,4,0.961
11,5,0.961
11,6,0.961
11,7,0.961
11,8,1.042
11,9,1.042
11,10,1.042
11,11,1.042
11,12,1.042
11,13,1.042
11,14,0.926
11,15,0.961
11,16,0.926
11,17,0.926
11,18,0.926
11,19,0.926
11,20,0.961
11,21,0.926
11,22,0.926
11,23,0.926
11,24,0.926
11,25,0.926
11,26,0.926
11,27,0.926
11,28,0.926
11,29,0.926
11,30,0.926
12,1,0.926
12,2,0.926
12,3,0.926
12,4,0.926
12,5,1.042
12,6,1.042
12,7,0.926
12,8,0.926
12,9,0.926
12,10,0.926
12,11,1.852
12,12,1.852
12,13,1.852
12,14,1.852
12,15,0.81
12,16,1.956
12,17,1.956
12,18,1.956
12,19,0.752
12,20,0.752
12,21,0.694
12,22,0.59
12,23,0.59
12,24,0.59
12,25,1.956
12,26,0.579
12,27,0.579
12,28,0.579
12,29,0.579
12,30,0.579
12,31,0.347
