month,day,release
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,1.782
1,11,1.782
1,12,1.782
1,13,1.782
1,14,2.199
1,15,0.0
1,16,0.775
1,17,0.775
1,18,0.255
1,19,0.255
1,20,0.255
1,21,0.255
1,22,0.255
1,23,0.0
1,24,0.0
1,25,0.0
1,26,0.0
1,27,0.0
1,28,0.0
1,29,0.0
1,30,0.0
1,31,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.59
2,7,2.083
2,8,2.083
2,9,2.083
2,10,0.59
2,11,0.312
2,12,0.312
2,13,0.312
2,14,1.296
2,15,1.296
2,16,1.088
2,17,0.0
2,18,0.0
2,19,0.0
2,20,0.0
2,21,0.0
2,22,0.0
2,23,0.0
2,24,0.0
2,25,0.0
2,26,0.0
2,27,0.0
2,28,0.0
2,29,3.241
3,1,0.0
3,2,0.0
3,3,3.137
3,4,2.847
3,5,2.847
3,6,3.09
3,7,3.09
3,8,3.09
3,9,3.09
3,10,2.847
3,11,2.847
3,12,2.847
3,13,1.111
3,14,0.0
3,15,0.0
3,16,0.0
3,17,0.0
3,18,0.0
3,19,0.0
3,20,0.0
3,21,0.0
3,22,0.0
3,23,0.0
3,24,0.0
3,25,0.0
3,26,0.0
3,27,0.0
3,28,0.0
3,29,0.0
3,30,0.0
3,31,6.644
4,1,6.644
4,2,3.646
4,3,3.646
4,4,3.646
4,5,2.083
4,6,2.083
4,7,3.947
4,8,0.764
4,9,0.0
4,10,0.0
4,11,0.0
4,12,0.0
4,13,0.0
4,14,0.0
4,15,0.0
4,16,0.0
4,17,0.0
4,18,0.0
4,19,0.0
4,20,0.0
4,21,0.0
4,22,0.0
4,23,0.0
4,24,0.0
4,25,0.0
4,26,0.0
4,27,0.0
4,28,0.0
4,29,0.0
4,30,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,0.0
5,10,0.0
5,11,0.0
5,12,0.0
5,13,0.0
5,14,0.0
5,15,0.0
5,16,0.0
5,17,0.0
5,18,0.0
5,19,0.0
5,20,0.0
5,21,0.0
5,22,0.0
5,23,0.0
5,24,0.0
5,25,0.0
5,26,0.0
5,27,0.0
5,28,0.0
5,29,0.0
5,30,0.0
5,31,0.0
6,1,0.0
6,2,0.0
6,3,0.0
6,4,0.0
6,5,0.0
6,6,0.0
6,7,0.0
6,8,0.0
6,9,0.0
6,10,0.0
6,11,0.0
6,12,0.0
6,13,0.0
6,14,0.0
6,15,0.0
6,16,0.0
6,17,0.0
6,18,0.0
6,19,0.0
6,20,0.0
6,21,0.0
6,22,0.0
6,23,0.0
6,24,0.0
6,25,0.0
6,26,0.0
6,27,0.0
6,28,0.0
6,29,0.0
6,30,0.0
7,1,0.0
7,2,0.0
7,3,0.0
7,4,0.0
7,5,0.0
7,6,0.0
7,7,0.0
7,8,0.0
7,9,0.0
7,10,0.0
7,11,0.0
7,12,0.0
7,13,0.0
7,14,0.0
7,15,0.0
7,16,0.0
7,17,0.0
7,18,0.0
7,19,0.0
7,20,0.0
7,21,1.655
7,22,2.35
7,23,2.35
7,24,2.35
7,25,1.273
7,26,2.095
7,27,3.067
7,28,3.067
7,29,3.067
7,30,3.067
7,31,3.067
8,1,3.067
8,2,3.067
8,3,3.009
8,4,3.009
8,5,1.933
8,6,1.933
8,7,1.933
8,8,0.0
8,9,0.0
8,10,0.0
8,11,0.0
8,12,2.292
8,13,2.292
8,14,2.292
8,15,2.292
8,16,2.951
8,17,2.292
8,18,2.292
8,19,2.292
8,20,2.292
8,21,2.292
8,22,2.292
8,23,2.292
8,24,2.292
8,25,8.218
8,26,4.097
8,27,4.097
8,28,4.097
8,29,4.097
8,30,4.097
8,31,0.475
9,1,0.0
9,2,0.0
9,3,0.0
9,4,0.0
9,5,0.0
9,6,0.0
9,7,0.0
9,8,0.926
9,9,0.926
9,10,2.859
9,11,2.859
9,12,2.859
9,13,3.391
9,14,3.391
9,15,3.391
9,16,3.391
9,17,3.391
9,18,3.391
9,19,2.419
9,20,2.419
9,21,2.419
9,22,2.419
9,23,2.419
9,24,2.419
9,25,2.419
9,26,2.419
9,27,2.419
9,28,2.419
9,29,2.419
9,30,1.806
10,1,2.419
10,2,3.762
10,3,3.762
10,4,3.762
10,5,3.843
10,6,4.954
10,7,4.954
10,8,2.604
10,9,3.762
10,10,3.067
10,11,3.762
10,12,3.715
10,13,3.762
10,14,3.762
10,15,3.345
10,16,3.322
10,17,3.322
10,18,3.495
10,19,3.669
10,20,2.326
10,21,1.921
10,22,1.03
10,23,1.03
10,24,0.162
10,25,0.162
10,26,0.162
10,27,0.162
10,28,0.162
10,29,0.162
10,30,0.162
10,31,0.602
11,1,1.03
11,2,1.03
11,3,1.03
11,4,1.377
11,5,1.204
11,6,1.204
11,7,1.204
11,8,1.204
11,9,0.0
11,10,2.65
11,11,1.4
11,12,1.4
11,13,1.4
11,14,1.4
11,15,1.4
11,16,1.4
11,17,1.4
11,18,0.0
11,19,0.0
11,20,0.0
11,21,0.0
11,22,0.0
11,23,1.4
11,24,0.0
11,25,0.0
11,26,0.0
11,27,0.0
11,28,0.0
11,29,0.0
11,30,0.0
12,1,0.0
12,2,0.0
12,3,0.0
12,4,0.0
12,5,0.0
12,6,0.0
12,7,0.0
12,8,0.0
12,9,0.0
12,10,0.0
12,11,0.0
12,12,0.0
12,13,0.0
12,14,0.0
12,15,0.0
12,16,0.0
12,17,0.0
12,18,0.0
12,19,0.0
12,20,0.0
12,21,2.164
12,22,2.164
12,23,2.188
12,24,2.025
12,25,2.025
12,26,2.025
12,27,1.782
12,28,1.782
12,29,1.782
12,30,0.741
12,31,0.0
