month,day,mean_flow
1,1,646876.8
1,2,655516.8
1,3,654652.8
1,4,646876.8
1,5,665539.2
1,6,683424
1,7,686707.2
1,8,687830.4
1,9,669945.6
1,10,783475.2
1,11,599270.4
1,12,962668.8
1,13,754272
1,14,753840
1,15,1239235.2
1,16,1233273.6
1,17,783993.6
1,18,783216
1,19,760752
1,20,1540166.4
1,21,757728
1,22,456019.2
1,23,477792
1,24,476236.8
1,25,603676.8
1,26,601171.2
1,27,655257.6
1,28,589939.2
1,29,606528
1,30,588211.2
1,31,594259.2
2,1,592012.8
2,2,590544
2,3,663033.6
2,4,661478.4
2,5,676944
2,6,675907.2
2,7,665625.6
2,8,681264
2,9,666316.8
2,10,666921.6
2,11,673488
2,12,648950.4
2,13,664761.6
2,14,672364.8
2,15,671328
2,16,689558.4
2,17,668044.8
2,18,661132.8
2,19,668217.6
2,20,605404.8
2,21,605664
2,22,612144
2,23,607737.6
2,24,480643.2
2,25,594950.4
2,26,608342.4
2,27,606528
2,28,651196.8
2,29,0
3,1,723859.2
3,2,728352
3,3,721094.4
3,4,724032
3,5,713836.8
3,6,708480
3,7,727833.6
3,8,725932.8
3,9,729388.8
3,10,726278.4
3,11,726364.8
3,12,731462.4
3,13,723340.8
3,14,662860.8
3,15,664243.2
3,16,681091.2
3,17,678585.6
3,18,514252.8
3,19,689731.2
3,20,683251.2
3,21,731462.4
3,22,720230.4
3,23,727142.4
3,24,708480
3,25,720921.6
3,26,720230.4
3,27,726278.4
3,28,744422.4
3,29,724377.6
3,30,669081.6
3,31,433555.2
4,1,429580.8
4,2,257817.6
4,3,261619.2
4,4,261619.2
4,5,293587.2
4,6,300153.6
4,7,208137.6
4,8,202867.2
4,9,300585.6
4,10,195955.2
4,11,260064
4,12,255571.2
4,13,210297.6
4,14,210297.6
4,15,258508.8
4,16,260928
4,17,260928
4,18,252460.8
4,19,252460.8
4,20,87264
4,21,326678.4
4,22,429235.2
4,23,487209.6
4,24,544406.4
4,25,483062.4
4,26,505699.2
4,27,505699.2
4,28,972259.2
4,29,1024099.2
4,30,1024444.8
5,1,188611.2
5,2,0
5,3,0
5,4,0
5,5,0
5,6,0
5,7,0
5,8,0
5,9,0
5,10,0
5,11,0
5,12,0
5,13,0
5,14,0
5,15,0
5,16,0
5,17,0
5,18,0
5,19,0
5,20,0
5,21,0
5,22,0
5,23,0
5,24,0
5,25,0
5,26,0
5,27,0
5,28,0
5,29,0
5,30,226713.6
5,31,229046.4
6,1,229046.4
6,2,229046.4
6,3,229046.4
6,4,336355.2
6,5,132105.6
6,6,98323.2
6,7,0
6,8,0
6,9,0
6,10,0
6,11,0
6,12,0
6,13,0
6,14,0
6,15,384134.4
6,16,384134.4
6,17,394848
6,18,441417.6
6,19,410140.8
6,20,433123.2
6,21,386899.2
6,22,104198.4
6,23,116553.6
6,24,0
6,25,0
6,26,0
6,27,0
6,28,0
6,29,124416
6,30,124675.2
7,1,237254.4
7,2,241142.4
7,3,156643.2
7,4,0
7,5,0
7,6,0
7,7,0
7,8,0
7,9,0
7,10,0
7,11,0
7,12,174182.4
7,13,173059.2
7,14,221788.8
7,15,221788.8
7,16,301276.8
7,17,192844.8
7,18,125971.2
7,19,126316.8
7,20,124934.4
7,21,126316.8
7,22,126748.8
7,23,126316.8
7,24,126316.8
7,25,126316.8
7,26,133747.2
7,27,666921.6
7,28,561859.2
7,29,561427.2
7,30,558835.2
7,31,376876.8
8,1,132019.2
8,2,132019.2
8,3,318297.6
8,4,318038.4
8,5,252115.2
8,6,254016
8,7,70502.4
8,8,68342.4
8,9,183168
8,10,363052.8
8,11,443059.2
8,12,459216
8,13,458352
8,14,459216
8,15,463017.6
8,16,278553.6
8,17,254016
8,18,285120
8,19,226886.4
8,20,227232
8,21,95731.2
8,22,95558.4
8,23,0
8,24,0
8,25,0
8,26,327196.8
8,27,334627.2
8,28,0
8,29,0
8,30,0
8,31,0
9,1,0
9,2,0
9,3,338774.4
9,4,330393.6
9,5,0
9,6,0
9,7,0
9,8,0
9,9,0
9,10,0
9,11,355881.6
9,12,298166.4
9,13,0
9,14,0
9,15,0
9,16,0
9,17,0
9,18,196128
9,19,0
9,20,0
9,21,0
9,22,0
9,23,0
9,24,63936
9,25,116899.2
9,26,65232
9,27,0
9,28,0
9,29,0
9,30,181353.6
10,1,236563.2
10,2,234576
10,3,233971.2
10,4,0
10,5,381024
10,6,435110.4
10,7,153273.6
10,8,165888
10,9,171331.2
10,10,146793.6
10,11,165888
10,12,218160
10,13,117158.4
10,14,128736
10,15,128736
10,16,123206.4
10,17,121392
10,18,112147.2
10,19,355795.2
10,20,353116.8
10,21,108864
10,22,108864
10,23,74304
10,24,73612.8
10,25,74822.4
10,26,0
10,27,0
10,28,0
10,29,0
10,30,0
10,31,0
11,1,0
11,2,0
11,3,0
11,4,33436.8
11,5,8640
11,6,36374.4
11,7,36374.4
11,8,22464
11,9,45446.4
11,10,108432
11,11,338774.4
11,12,331084.8
11,13,175132.8
11,14,149212.8
11,15,146361.6
11,16,173836.8
11,17,177465.6
11,18,242870.4
11,19,204768
11,20,205372.8
11,21,178329.6
11,22,168134.4
11,23,169171.2
11,24,160617.6
11,25,573955.2
11,26,463795.2
11,27,468201.6
11,28,164592
11,29,163209.6
11,30,1045353.6
12,1,1048982.4
12,2,1100131.2
12,3,1062633.6
12,4,1057104
12,5,611193.6
12,6,621043.2
12,7,181612.8
12,8,179798.4
12,9,220060.8
12,10,208656
12,11,209433.6
12,12,179193.6
12,13,175996.8
12,14,646876.8
12,15,681955.2
12,16,701136
12,17,236390.4
12,18,703728
12,19,708480
12,20,236908.8
12,21,185846.4
12,22,222307.2
12,23,198892.8
12,24,179625.6
12,25,196819.2
12,26,203904
12,27,176860.8
12,28,180230.4
12,29,202608
12,30,203126.4
12,31,651196.8
