month,day,release
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
1,12,0.0
1,13,0.0
1,14,0.0
1,15,0.0
1,16,0.0
1,17,0.0
1,18,0.0
1,19,0.0
1,20,0.0
1,21,0.0
1,22,0.0
1,23,0.0
1,24,0.0
1,25,0.0
1,26,0.0
1,27,0.0
1,28,0.0
1,29,0.0
1,30,0.0
1,31,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
2,12,0.0
2,13,0.0
2,14,0.0
2,15,0.0
2,16,0.0
2,17,0.0
2,18,0.0
2,19,0.0
2,20,0.0
2,21,0.0
2,22,0.0
2,23,0.0
2,24,0.0
2,25,0.0
2,26,0.0
2,27,0.0
2,28,0.0
2,29,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,1.157
3,5,1.157
3,6,1.157
3,7,1.157
3,8,1.157
3,9,1.157
3,10,0.0
3,11,0.0
3,12,0.0
3,13,0.0
3,14,0.0
3,15,0.0
3,16,0.0
3,17,0.0
3,18,0.0
3,19,0.0
3,20,0.0
3,21,0.0
3,22,0.0
3,23,0.0
3,24,0.0
3,25,0.0
3,26,0.0
3,27,0.0
3,28,0.0
3,29,0.0
3,30,0.0
3,31,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
4,12,0.0
4,13,0.0
4,14,0.0
4,15,0.0
4,16,0.0
4,17,0.0
4,18,0.0
4,19,0.0
4,20,0.0
4,21,0.0
4,22,0.0
4,23,0.0
4,24,0.0
4,25,0.0
4,26,0.0
4,27,0.0
4,28,0.0
4,29,0.0
4,30,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,0.0
5,10,0.0
5,11,0.0
5,12,0.0
5,13,0.0
5,14,0.0
5,15,0.0
5,16,0.0
5,17,0.0
5,18,0.0
5,19,0.0
5,20,0.0
5,21,0.0
5,22,0.0
5,23,0.0
5,24,0.0
5,25,0.0
5,26,0.0
5,27,0.0
5,28,0.0
5,29,0.0
5,30,0.0
5,31,0.0
6,1,0.0
6,2,0.0
6,3,0.0
6,4,0.0
6,5,0.0
6,6,0.0
6,7,0.0
6,8,0.0
6,9,0.0
6,10,0.0
6,11,0.0
6,12,0.0
6,13,0.0
6,14,0.0
6,15,0.0
6,16,0.0
6,17,0.0
6,18,0.0
6,19,0.0
6,20,0.0
6,21,0.0
6,22,0.0
6,23,0.0
6,24,0.0
6,25,0.0
6,26,0.0
6,27,0.0
6,28,0.0
6,29,0.0
6,30,0.0
7,1,0.0
7,2,0.0
7,3,0.0
7,4,0.0
7,5,0.0
7,6,0.0
7,7,0.0
7,8,0.0
7,9,0.0
7,10,0.0
7,11,0.0
7,12,0.0
7,13,0.0
7,14,0.0
7,15,0.0
7,16,0.0
7,17,0.0
7,18,0.0
7,19,0.0
7,20,2.037
7,21,2.037
7,22,2.037
7,23,2.037
7,24,2.106
7,25,2.106
7,26,2.106
7,27,2.037
7,28,2.037
7,29,1.574
7,30,1.574
7,31,1.574
8,1,1.597
8,2,1.597
8,3,1.597
8,4,1.597
8,5,1.597
8,6,2.106
8,7,2.106
8,8,2.106
8,9,2.106
8,10,2.106
8,11,2.106
8,12,2.176
8,13,2.176
8,14,2.106
8,15,2.106
8,16,2.106
8,17,2.106
8,18,2.106
8,19,2.106
8,20,2.106
8,21,2.106
8,22,2.106
8,23,2.234
8,24,2.234
8,25,2.234
8,26,5.845
8,27,3.333
8,28,3.854
8,29,3.854
8,30,3.854
8,31,3.854
9,1,3.854
9,2,3.299
9,3,2.106
9,4,2.106
9,5,2.106
9,6,3.287
9,7,3.287
9,8,3.287
9,9,3.287
9,10,3.287
9,11,3.854
9,12,3.854
9,13,5.532
9,14,5.833
9,15,5.833
9,16,5.833
9,17,5.833
9,18,5.833
9,19,5.833
9,20,5.509
9,21,5.509
9,22,2.396
9,23,2.396
9,24,5.938
9,25,6.493
9,26,6.493
9,27,5.498
9,28,6.493
9,29,6.493
9,30,6.493
10,1,10.023
10,2,4.641
10,3,8.947
10,4,7.083
10,5,7.083
10,6,5.15
10,7,4.653
10,8,2.269
10,9,2.986
10,10,3.553
10,11,3.565
10,12,3.345
10,13,3.345
10,14,3.345
10,15,5.312
10,16,3.345
10,17,3.345
10,18,3.345
10,19,3.345
10,20,3.345
10,21,1.343
10,22,1.424
10,23,1.424
10,24,2.65
10,25,2.65
10,26,2.65
10,27,2.65
10,28,2.65
10,29,2.65
10,30,2.65
10,31,2.65
11,1,2.65
11,2,2.65
11,3,2.65
11,4,2.65
11,5,2.65
11,6,2.65
11,7,2.65
11,8,2.65
11,9,2.65
11,10,2.65
11,11,2.65
11,12,2.65
11,13,2.65
11,14,2.65
11,15,2.65
11,16,1.076
11,17,2.65
11,18,1.076
11,19,1.076
11,20,1.076
11,21,0.532
11,22,0.532
11,23,0.532
11,24,0.0
11,25,0.0
11,26,0.0
11,27,0.532
11,28,0.532
11,29,0.532
11,30,0.532
12,1,0.532
12,2,0.127
12,3,0.972
12,4,0.972
12,5,0.972
12,6,0.556
12,7,1.412
12,8,1.412
12,9,1.412
12,10,1.296
12,11,0.0
12,12,1.296
12,13,0.0
12,14,0.0
12,15,0.0
12,16,1.701
12,17,1.69
12,18,1.69
12,19,0.0
12,20,0.0
12,21,2.095
12,22,2.095
12,23,2.095
12,24,1.701
12,25,0.0
12,26,0.0
12,27,0.0
12,28,0.0
12,29,1.505
12,30,1.505
12,31,0.0
